name,owner,stars,forks,language,url
XUI,xuexiangjys,4978,851,Java,https://github.com/xuexiangjys/XUI
lwjgl3,LWJGL,4973,650,Java,https://github.com/LWJGL/lwjgl3
CloudReader,youlookwhat,4964,1331,Java,https://github.com/youlookwhat/CloudReader
mapdb,jankotek,4957,880,Java,https://github.com/jankotek/mapdb
liquibase,liquibase,4956,1890,Java,https://github.com/liquibase/liquibase
spring-authorization-server,spring-projects,4954,1323,Java,https://github.com/spring-projects/spring-authorization-server
RxJava2-Android-Samples,amitshekhariitbhu,4950,1065,Java,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples
NavigationTabBar,Devlight,4948,874,Java,https://github.com/Devlight/NavigationTabBar
gpmall,2227324689,4948,1882,Java,https://github.com/2227324689/gpmall
runelite,runelite,4945,5304,Java,https://github.com/runelite/runelite
OsmAnd,osmandapp,4943,1045,Java,https://github.com/osmandapp/OsmAnd
megabasterd,tonikelope,4941,609,Java,https://github.com/tonikelope/megabasterd
xpay,Exrick,4938,1110,Java,https://github.com/Exrick/xpay
Geyser,GeyserMC,4933,712,Java,https://github.com/GeyserMC/Geyser
RippleEffect,traex,4921,1078,Java,https://github.com/traex/RippleEffect
react-native-linear-gradient,react-native-linear-gradient,4915,700,Java,https://github.com/react-native-linear-gradient/react-native-linear-gradient
folding-cell-android,Ramotion,4902,841,Java,https://github.com/Ramotion/folding-cell-android
spring-cloud-netflix,spring-cloud,4901,2451,Java,https://github.com/spring-cloud/spring-cloud-netflix
ignite,apache,4897,1912,Java,https://github.com/apache/ignite
Android-IMSI-Catcher-Detector,CellularPrivacy,4897,977,Java,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector
oshi,oshi,4886,895,Java,https://github.com/oshi/oshi
armeria,line,4884,938,Java,https://github.com/line/armeria
DesignPattern,youlookwhat,4882,1436,Java,https://github.com/youlookwhat/DesignPattern
roncoo-pay,roncoo,4880,2577,Java,https://github.com/roncoo/roncoo-pay
react-native-config,lugg,4876,661,Java,https://github.com/lugg/react-native-config
wgcloud,tianshiyeben,4866,865,Java,https://github.com/tianshiyeben/wgcloud
dynamic-datasource,baomidou,4864,1207,Java,https://github.com/baomidou/dynamic-datasource
sensitive-word,houbb,4863,663,Java,https://github.com/houbb/sensitive-word
QAuxiliary,cinit,4844,350,Java,https://github.com/cinit/QAuxiliary
typespec,microsoft,4844,257,Java,https://github.com/microsoft/typespec
cglib,cglib,4841,891,Java,https://github.com/cglib/cglib
bisq,bisq-network,4836,1276,Java,https://github.com/bisq-network/bisq
reactive-streams-jvm,reactive-streams,4833,534,Java,https://github.com/reactive-streams/reactive-streams-jvm
querydsl,querydsl,4833,880,Java,https://github.com/querydsl/querydsl
java-faker,DiUS,4831,862,Java,https://github.com/DiUS/java-faker
WukongCRM-11.0-JAVA,WuKongOpenSource,4830,735,Java,https://github.com/WuKongOpenSource/WukongCRM-11.0-JAVA
packer-ng-plugin,mcxiaoke,4823,864,Java,https://github.com/mcxiaoke/packer-ng-plugin
Transitions-Everywhere,andkulikov,4815,488,Java,https://github.com/andkulikov/Transitions-Everywhere
lucida,claritylab,4806,879,Java,https://github.com/claritylab/lucida
openai-java,TheoKanning,4798,1222,Java,https://github.com/TheoKanning/openai-java
killbill,killbill,4786,810,Java,https://github.com/killbill/killbill
orientdb,orientechnologies,4785,875,Java,https://github.com/orientechnologies/orientdb
jpexs-decompiler,jindrapetrik,4783,674,Java,https://github.com/jindrapetrik/jpexs-decompiler
Android-ConvenientBanner,saiwu-bigkoo,4770,1051,Java,https://github.com/saiwu-bigkoo/Android-ConvenientBanner
aviatorscript,killme2008,4769,870,Java,https://github.com/killme2008/aviatorscript
rstudio,rstudio,4766,1111,Java,https://github.com/rstudio/rstudio
calcite,apache,4764,2395,Java,https://github.com/apache/calcite
spotless,diffplug,4764,465,Java,https://github.com/diffplug/spotless
react-native-webrtc,react-native-webrtc,4761,1256,Java,https://github.com/react-native-webrtc/react-native-webrtc
AndroidStaggeredGrid,etsy,4749,1122,Java,https://github.com/etsy/AndroidStaggeredGrid
Digital,hneemann,4747,481,Java,https://github.com/hneemann/Digital
Suwayomi-Server,Suwayomi,4745,227,Java,https://github.com/Suwayomi/Suwayomi-Server
cameraview,google,4743,1026,Java,https://github.com/google/cameraview
small-spring,fuzhengwei,4741,1403,Java,https://github.com/fuzhengwei/small-spring
reflections,ronmamo,4736,706,Java,https://github.com/ronmamo/reflections
android-tips-tricks,nisrulz,4735,576,Java,https://github.com/nisrulz/android-tips-tricks
SwitchButton,kyleduo,4731,867,Java,https://github.com/kyleduo/SwitchButton
mybatis,tuguangquan,4724,2373,Java,https://github.com/tuguangquan/mybatis
spring-boot-best-practice,javastacks,4721,1296,Java,https://github.com/javastacks/spring-boot-best-practice
baseAdapter,hongyangAndroid,4721,1195,Java,https://github.com/hongyangAndroid/baseAdapter
Spring-Boot-In-Action,hansonwang99,4705,1495,Java,https://github.com/hansonwang99/Spring-Boot-In-Action
chuck,jgilfelt,4700,456,Java,https://github.com/jgilfelt/chuck
spring-security-oauth,spring-attic,4694,4027,Java,https://github.com/spring-attic/spring-security-oauth
mockserver,mock-server,4692,1086,Java,https://github.com/mock-server/mockserver
ActiveAndroid,pardom-zz,4690,1033,Java,https://github.com/pardom-zz/ActiveAndroid
FirebaseUI-Android,firebase,4667,1843,Java,https://github.com/firebase/FirebaseUI-Android
MaterialDateTimePicker,wdullaer,4666,944,Java,https://github.com/wdullaer/MaterialDateTimePicker
automq,AutoMQ,4650,304,Java,https://github.com/AutoMQ/automq
cardslib,gabrielemariotti,4650,1189,Java,https://github.com/gabrielemariotti/cardslib
PageIndicatorView,romandanylyk,4640,565,Java,https://github.com/romandanylyk/PageIndicatorView
microservices-platform,zlt2000,4637,1690,Java,https://github.com/zlt2000/microservices-platform
blog_demos,zq2599,4636,1877,Java,https://github.com/zq2599/blog_demos
esProc,SPLWare,4629,343,Java,https://github.com/SPLWare/esProc
spring-cloud-gateway,spring-cloud,4614,3367,Java,https://github.com/spring-cloud/spring-cloud-gateway
libsvm,cjlin1,4612,1635,Java,https://github.com/cjlin1/libsvm
JAViewer,SplashCodes,4611,696,Java,https://github.com/SplashCodes/JAViewer
SpringBoot-Shiro-Vue,Heeexy,4603,1786,Java,https://github.com/Heeexy/SpringBoot-Shiro-Vue
ribbon,Netflix,4596,1248,Java,https://github.com/Netflix/ribbon
rocketmq-externals,apache,4590,3067,Java,https://github.com/apache/rocketmq-externals
JSON-java,stleary,4589,2569,Java,https://github.com/stleary/JSON-java
poi-tl,Sayi,4583,1056,Java,https://github.com/Sayi/poi-tl
crawler4j,yasserg,4581,1926,Java,https://github.com/yasserg/crawler4j
SimplifyReader,chentao0707,4576,1605,Java,https://github.com/chentao0707/SimplifyReader
ForestBlog,saysky,4569,1645,Java,https://github.com/saysky/ForestBlog
quasar,puniverse,4568,574,Java,https://github.com/puniverse/quasar
db-tutorial,dunwu,4566,587,Java,https://github.com/dunwu/db-tutorial
micrometer,micrometer-metrics,4566,1013,Java,https://github.com/micrometer-metrics/micrometer
JGrowing,javagrowing,4564,935,Java,https://github.com/javagrowing/JGrowing
javacpp,bytedeco,4562,591,Java,https://github.com/bytedeco/javacpp
Depth-LIB-Android-,danielzeller,4557,591,Java,https://github.com/danielzeller/Depth-LIB-Android-
sqlbrite,square,4556,417,Java,https://github.com/square/sqlbrite
Douya,zhanghai,4556,1143,Java,https://github.com/zhanghai/Douya
go-lang-idea-plugin,go-lang-plugin-org,4555,570,Java,https://github.com/go-lang-plugin-org/go-lang-idea-plugin
maven,apache,4544,2722,Java,https://github.com/apache/maven
android-crop,jdamcd,4541,1075,Java,https://github.com/jdamcd/android-crop
--,981011512,4530,2246,Java,https://github.com/981011512/--
concurrent,RedSpider1,4528,610,Java,https://github.com/RedSpider1/concurrent
dexposed,alibaba,4524,1070,Java,https://github.com/alibaba/dexposed
Infinity-For-Reddit,Docile-Alligator,4523,422,Java,https://github.com/Docile-Alligator/Infinity-For-Reddit
bottomsheet,Flipboard,4521,595,Java,https://github.com/Flipboard/bottomsheet
