name,owner,stars,forks,language,url,releases,age_years
BigImageViewer,Piasy,3987,405,Java,https://github.com/Piasy/BigImageViewer,0,0
hawk,orhanobut,3985,392,Java,https://github.com/orhanobut/hawk,0,0
geoserver,geoserver,3983,2205,Java,https://github.com/geoserver/geoserver,0,0
fastjson2,alibaba,3980,520,Java,https://github.com/alibaba/fastjson2,0,0
BadgeView,qstumn,3979,541,Java,https://github.com/qstumn/BadgeView,0,0
Aliucord,Aliucord,3958,173,Java,https://github.com/Aliucord/Aliucord,0,0
GuideView,binIoter,3956,654,Java,https://github.com/binIoter/GuideView,0,0
tech-weekly,mercyblitz,3956,711,Java,https://github.com/mercyblitz/tech-weekly,0,0
effective-java-3e-source-code,jbloch,3952,1970,Java,https://github.com/jbloch/effective-java-3e-source-code,0,0
novel-plus,201206030,3950,1358,Java,https://github.com/201206030/novel-plus,0,0
interviewGuide,NotFound9,3945,685,Java,https://github.com/NotFound9/interviewGuide,0,0
RichText,zzhoujay,3941,562,Java,https://github.com/zzhoujay/RichText,0,0
android-iconify,JoanZapata,3937,525,Java,https://github.com/JoanZapata/android-iconify,0,0
RxJavaSamples,rengwuxian,3937,857,Java,https://github.com/rengwuxian/RxJavaSamples,0,0
XChange,knowm,3936,1962,Java,https://github.com/knowm/XChange,0,0
LiveEventBus,JeremyLiao,3929,553,Java,https://github.com/JeremyLiao/LiveEventBus,0,0
XposedInstaller,rovo89,3928,1517,Java,https://github.com/rovo89/XposedInstaller,0,0
jmonkeyengine,jMonkeyEngine,3926,1131,Java,https://github.com/jMonkeyEngine/jmonkeyengine,0,0
DataMiningAlgorithm,linyiqun,3906,1705,Java,https://github.com/linyiqun/DataMiningAlgorithm,0,0
Conductor,bluelinelabs,3902,343,Java,https://github.com/bluelinelabs/Conductor,0,0
jetty.project,jetty,3900,1939,Java,https://github.com/jetty/jetty.project,0,0
jstorm,alibaba,3900,1797,Java,https://github.com/alibaba/jstorm,0,0
learning-spark,databricks,3890,2421,Java,https://github.com/databricks/learning-spark,0,0
Leetcode,fishercoder1534,3885,1296,Java,https://github.com/fishercoder1534/Leetcode,0,0
awaitility,awaitility,3884,247,Java,https://github.com/awaitility/awaitility,0,0
grobid,kermitt2,3881,472,Java,https://github.com/kermitt2/grobid,0,0
BackgroundLibrary,JavaNoober,3874,470,Java,https://github.com/JavaNoober/BackgroundLibrary,0,0
sofa-rpc,sofastack,3863,1184,Java,https://github.com/sofastack/sofa-rpc,0,0
xboot,Exrick,3862,1305,Java,https://github.com/Exrick/xboot,0,0
screw,pingfangushi,3862,708,Java,https://github.com/pingfangushi/screw,0,0
Launcher3,amirzaidi,3862,648,Java,https://github.com/amirzaidi/Launcher3,0,0
bitcoin-wallet,bitcoin-wallet,3861,2129,Java,https://github.com/bitcoin-wallet/bitcoin-wallet,0,0
TinyPinyin,promeG,3858,484,Java,https://github.com/promeG/TinyPinyin,0,0
Timeline-View,vipulasri,3854,645,Java,https://github.com/vipulasri/Timeline-View,0,0
IDDD_Samples,VaughnVernon,3842,914,Java,https://github.com/VaughnVernon/IDDD_Samples,0,0
java-tron,tronprotocol,3837,1446,Java,https://github.com/tronprotocol/java-tron,0,0
ahbottomnavigation,aurelhubert,3835,686,Java,https://github.com/aurelhubert/ahbottomnavigation,0,0
MaterialSearchView,MiguelCatalan,3830,619,Java,https://github.com/MiguelCatalan/MaterialSearchView,0,0
DSBridge-Android,wendux,3825,624,Java,https://github.com/wendux/DSBridge-Android,0,0
ripme,RipMeApp,3822,630,Java,https://github.com/RipMeApp/ripme,0,0
CircleProgress,uknownothingsnow,3818,924,Java,https://github.com/uknownothingsnow/CircleProgress,0,0
leetcode-editor,shuzijun,3815,409,Java,https://github.com/shuzijun/leetcode-editor,0,0
jabref,JabRef,3804,2735,Java,https://github.com/JabRef/jabref,0,0
ShedLock,lukas-krecan,3802,535,Java,https://github.com/lukas-krecan/ShedLock,0,0
PeerBanHelper,PBH-BTN,3798,100,Java,https://github.com/PBH-BTN/PeerBanHelper,0,0
syncthing-android,syncthing,3793,451,Java,https://github.com/syncthing/syncthing-android,0,0
MarqueeView,sunfusheng,3782,674,Java,https://github.com/sunfusheng/MarqueeView,0,0
OpenPDF,LibrePDF,3778,631,Java,https://github.com/LibrePDF/OpenPDF,0,0
SuperTextView,lygttpod,3773,591,Java,https://github.com/lygttpod/SuperTextView,0,0
AndServer,yanzhenjie,3772,768,Java,https://github.com/yanzhenjie/AndServer,0,0
mpush,mpusher,3768,1457,Java,https://github.com/mpusher/mpush,0,0
roboguice,roboguice,3758,824,Java,https://github.com/roboguice/roboguice,0,0
My-Blog,ZHENFENG13,3756,999,Java,https://github.com/ZHENFENG13/My-Blog,0,0
andOTP,andOTP,3755,366,Java,https://github.com/andOTP/andOTP,0,0
lilishop,lilishop,3752,956,Java,https://github.com/lilishop/lilishop,0,0
CustomActivityOnCrash,Ereza,3749,543,Java,https://github.com/Ereza/CustomActivityOnCrash,0,0
react-native-share,react-native-share,3747,965,Java,https://github.com/react-native-share/react-native-share,0,0
SwipeDelMenuLayout,mcxtzhang,3744,641,Java,https://github.com/mcxtzhang/SwipeDelMenuLayout,0,0
sticky-headers-recyclerview,timehop,3744,754,Java,https://github.com/timehop/sticky-headers-recyclerview,0,0
blurkit-android,CameraKit,3744,312,Java,https://github.com/CameraKit/blurkit-android,0,0
mlkit,googlesamples,3735,2976,Java,https://github.com/googlesamples/mlkit,0,0
spruce-android,willowtreeapps,3720,366,Java,https://github.com/willowtreeapps/spruce-android,0,0
NullAway,uber,3712,301,Java,https://github.com/uber/NullAway,0,0
Terasology,MovingBlocks,3712,1344,Java,https://github.com/MovingBlocks/Terasology,0,0
java,kubernetes-client,3711,1969,Java,https://github.com/kubernetes-client/java,0,0
NoHttp,yanzhenjie,3707,852,Java,https://github.com/yanzhenjie/NoHttp,0,0
ChatKit,stfalcon-studio,3707,833,Java,https://github.com/stfalcon-studio/ChatKit,0,0
atmosphere,Atmosphere,3707,757,Java,https://github.com/Atmosphere/atmosphere,0,0
StylishMusicPlayer,ryanhoo,3704,768,Java,https://github.com/ryanhoo/StylishMusicPlayer,0,0
Skeleton,ethanhua,3697,456,Java,https://github.com/ethanhua/Skeleton,0,0
ByteLegend,ByteLegend,3694,144,Java,https://github.com/ByteLegend/ByteLegend,0,0
Play-with-Algorithms,liuyubobobo,3685,1464,Java,https://github.com/liuyubobobo/Play-with-Algorithms,0,0
