name,owner,stars,forks,language,url,releases,age_years
JavaGuide,Snailclimb,148826,45767,Java,https://github.com/Snailclimb/JavaGuide,0,6.88
hello-algo,krahets,110752,13799,Java,https://github.com/krahets/hello-algo,9,2.38
java-design-patterns,iluwatar,91024,26849,Java,https://github.com/iluwatar/java-design-patterns,0,10.63
mall,macrozheng,79598,29106,Java,https://github.com/macrozheng/mall,3,6.97
advanced-java,doocs,77277,19165,Java,https://github.com/doocs/advanced-java,1,6.47
spring-boot,spring-projects,76509,40999,Java,https://github.com/spring-projects/spring-boot,30,12.43
LeetCodeAnimation,MisterBooo,75776,13979,Java,https://github.com/MisterBooo/LeetCodeAnimation,0,6.3
elasticsearch,elastic,72064,25096,Java,https://github.com/elastic/elasticsearch,30,15.13
interviews,kdn251,64024,12915,Java,https://github.com/kdn251/interviews,0,8.11
Java,TheAlgorithms,61133,19810,Java,https://github.com/TheAlgorithms/Java,0,8.69
spring-framework,spring-projects,57602,38389,Java,https://github.com/spring-projects/spring-framework,30,14.3
ghidra,NationalSecurityAgency,55542,6227,Java,https://github.com/NationalSecurityAgency/ghidra,30,6.07
Stirling-PDF,Stirling-Tools,54546,4533,Java,https://github.com/Stirling-Tools/Stirling-PDF,30,2.15
guava,google,50599,10963,Java,https://github.com/google/guava,30,10.82
RxJava,ReactiveX,48051,7609,Java,https://github.com/ReactiveX/RxJava,30,12.21
jadx,skylot,43249,5011,Java,https://github.com/skylot/jadx,30,12.02
dbeaver,dbeaver,42352,3603,Java,https://github.com/dbeaver/dbeaver,30,9.43
JeecgBoot,jeecgboot,41961,15177,Java,https://github.com/jeecgboot/JeecgBoot,30,6.33
dubbo,apache,40833,26500,Java,https://github.com/apache/dubbo,30,12.77
termux-app,termux,39912,4281,Java,https://github.com/termux/termux-app,30,9.42
MPAndroidChart,PhilJay,37873,9038,Java,https://github.com/PhilJay/MPAndroidChart,30,10.92
tutorials,eugenp,37102,54400,Java,https://github.com/eugenp/tutorials,0,11.91
arthas,alibaba,36076,7539,Java,https://github.com/alibaba/arthas,30,6.57
hello-algorithm,geekxh,35526,6470,Java,https://github.com/geekxh/hello-algorithm,0,4.82
lottie-android,airbnb,35247,5438,Java,https://github.com/airbnb/lottie-android,30,8.46
halo,halo-dev,35025,9839,Java,https://github.com/halo-dev/halo,30,7.01
glide,bumptech,34821,6150,Java,https://github.com/bumptech/glide,30,11.71
netty,netty,33901,16032,Java,https://github.com/netty/netty,0,14.38
spring-boot-demo,xkcoding,33512,10952,Java,https://github.com/xkcoding/spring-boot-demo,0,7.37
AndroidUtilCode,Blankj,33498,10709,Java,https://github.com/Blankj/AndroidUtilCode,30,8.65
leetcode,doocs,33364,8768,Java,https://github.com/doocs/leetcode,0,0.0
NewPipe,TeamNewPipe,33280,3154,Java,https://github.com/TeamNewPipe/NewPipe,0,0.0
easyexcel,alibaba,33235,7616,Java,https://github.com/alibaba/easyexcel,0,0.0
zxing,zxing,33165,9383,Java,https://github.com/zxing/zxing,0,0.0
selenium,SeleniumHQ,31908,8367,Java,https://github.com/SeleniumHQ/selenium,0,0.0
nacos,alibaba,31013,12965,Java,https://github.com/alibaba/nacos,0,0.0
WxJava,binarywang,30767,8805,Java,https://github.com/binarywang/WxJava,0,0.0
spring-boot-examples,ityouknow,30407,12339,Java,https://github.com/ityouknow/spring-boot-examples,0,0.0
ruoyi-vue-pro,YunaiV,29816,6432,Java,https://github.com/YunaiV/ruoyi-vue-pro,0,0.0
kafka,apache,29700,14238,Java,https://github.com/apache/kafka,0,0.0
hutool,chinabugotech,29641,7569,Java,https://github.com/chinabugotech/hutool,0,0.0
apollo,apolloconfig,29383,10224,Java,https://github.com/apolloconfig/apollo,0,0.0
canal,alibaba,28913,7647,Java,https://github.com/alibaba/canal,0,0.0
SpringAll,wuyouzhuguli,28674,8182,Java,https://github.com/wuyouzhuguli/SpringAll,0,0.0
xxl-job,xuxueli,28476,11116,Java,https://github.com/xuxueli/xxl-job,0,0.0
spring-cloud-alibaba,alibaba,28313,8384,Java,https://github.com/alibaba/spring-cloud-alibaba,0,0.0
druid,alibaba,28092,8596,Java,https://github.com/alibaba/druid,0,0.0
vhr,lenve,27663,10301,Java,https://github.com/lenve/vhr,0,0.0
JCSprout,crossoverJie,27109,7075,Java,https://github.com/crossoverJie/JCSprout,0,0.0
miaosha,qiurunze123,26282,6618,Java,https://github.com/qiurunze123/miaosha,0,0.0
keycloak,keycloak,26085,7155,Java,https://github.com/keycloak/keycloak,0,0.0
