file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,"ResColorValue/2[int,java.lang.String]",true,21,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,encodeAsResXml/0,false,26,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,beforeClass/0,false,36,7,6,0,6,1,5,12,0,1,0,5,0,0,0,0,0,0,7,1,3,0,0,0,0,0,15,9,3,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,confirmBaksmaliParamsAreTheSame/0,false,54,3,1,0,1,1,4,6,0,3,0,4,0,0,0,0,0,0,46,0,3,1,0,0,0,0,36,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXml/0,false,54,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"serializeExtraXmlAttrs/2[brut.androlib.res.data.value.XmlSerializer,brut.androlib.res.data.ResResource]",false,60,3,1,0,1,2,2,5,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"ResStringValue/3[java.lang.String,int,java.lang.String]",true,34,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXmlItemValue/0,false,44,1,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXmlAttr/0,false,39,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,checkIfStringIsNumeric/1[java.lang.String],false,66,0,1,1,0,4,3,6,2,0,1,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,7,2,0,false
