file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,queryDb/1[java.lang.String],false,87,1,2,2,0,1,2,7,1,2,1,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,10,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,cacheFlushTest/0,false,107,3,2,0,2,1,11,12,0,2,0,11,2,1,0,0,0,0,14,4,3,0,0,0,0,0,31,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,waitForCacheFlush/0,false,95,1,2,2,0,3,3,7,0,2,0,3,0,0,1,0,0,2,0,2,2,1,1,0,0,0,16,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,getCachedPollDataByDomainTest/0,false,128,3,2,0,2,1,8,9,0,2,0,8,2,1,0,0,0,0,9,1,2,0,0,0,0,0,35,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,before/0,false,77,1,0,0,0,2,5,10,0,1,0,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,isTaskRetrievalRequired/0,false,207,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,"updateTaskStatus/2[com.netflix.conductor.model.WorkflowModel,com.netflix.conductor.model.TaskModel]",false,160,4,14,2,12,10,12,34,0,1,2,12,0,0,0,1,0,0,2,0,1,0,2,0,0,0,18,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,isAsyncComplete/1[com.netflix.conductor.model.TaskModel],false,156,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,"start/3[com.netflix.conductor.model.WorkflowModel,com.netflix.conductor.model.TaskModel,com.netflix.conductor.core.execution.WorkflowExecutor]",false,49,6,22,0,22,7,29,43,0,10,3,29,1,1,0,2,1,0,10,0,14,0,1,0,0,0,38,1,2,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,"execute/3[com.netflix.conductor.model.WorkflowModel,com.netflix.conductor.model.TaskModel,com.netflix.conductor.core.execution.WorkflowExecutor]",false,115,5,5,0,5,3,6,13,3,3,3,6,1,1,0,0,0,0,0,0,3,0,1,0,0,0,12,1,0,false
