file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\FragmentSettings.java,com.zcshou.gogogo.FragmentSettings,"onCreatePreferences/2[com.zcshou.gogogo.Bundle,java.lang.String]",false,39,8,2,0,2,6,19,47,2,16,2,19,1,1,0,5,0,1,12,1,11,2,4,0,0,3,44,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\FragmentSettings.java,com.zcshou.gogogo.FragmentSettings,setupDecimalEditTextPreference/1[com.zcshou.gogogo.EditTextPreference],false,20,2,1,1,0,3,14,18,2,4,1,14,0,0,0,1,0,0,0,0,0,1,3,0,0,3,13,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,setListener/1[com.zcshou.joystick.ButtonView.ButtonViewClickListener],false,431,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,initButtonView/0,false,58,0,3,3,0,51,8,373,0,9,0,8,0,0,0,25,0,0,0,50,100,0,4,0,0,9,21,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,"ButtonView/3[com.zcshou.joystick.Context,com.zcshou.joystick.AttributeSet,int]",true,33,3,1,0,1,1,3,6,0,0,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,"ButtonView/2[com.zcshou.joystick.Context,com.zcshou.joystick.AttributeSet]",true,41,3,1,0,1,1,3,6,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,ButtonView/1[com.zcshou.joystick.Context],true,49,2,1,0,1,1,3,6,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\GoApplication.java,com.zcshou.gogogo.GoApplication,onCreate/0,false,28,1,1,0,1,2,6,13,0,0,0,6,1,1,0,0,1,0,1,0,0,0,1,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\GoApplication.java,com.zcshou.gogogo.GoApplication,initXlog/0,false,50,7,1,1,0,2,12,9,0,4,0,12,0,0,0,1,0,0,1,1,4,0,1,0,0,0,40,2,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\JoyStick.java,com.zcshou.joystick.JoyStick$JoyStickClickListener,"onPositionInfo/3[double,double,double]",false,434,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\joystick\JoyStick.java,com.zcshou.joystick.JoyStick$JoyStickClickListener,"onMoveInfo/4[double,double,double,double]",false,433,0,2,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"gcj02towgs84/2[double,double]",false,60,2,3,1,2,1,5,13,1,7,2,5,2,1,0,0,0,7,0,11,10,26,0,0,0,0,16,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"bd09togcj02/2[double,double]",false,50,1,1,1,0,1,4,9,1,6,2,4,0,0,0,0,0,0,0,4,6,13,0,0,0,0,11,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"transformLon/2[double,double]",false,82,0,2,2,0,1,3,7,1,1,2,3,0,0,0,0,0,3,0,22,4,32,0,0,0,0,6,10,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"bd2wgs/2[double,double]",false,17,2,5,3,2,1,2,4,1,1,2,2,2,2,0,0,0,0,0,2,1,0,0,0,0,0,6,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"transformLat/2[double,double]",false,74,0,2,2,0,1,3,7,1,1,2,3,0,0,0,0,0,3,0,23,4,34,0,0,0,0,6,10,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,"wgs2bd09/2[double,double]",false,29,2,3,1,2,1,6,17,1,11,2,6,2,1,0,0,0,7,0,13,14,35,0,0,0,0,25,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\ShareUtils.java,com.zcshou.utils.ShareUtils,"getUriFromFile/2[com.zcshou.utils.Context,java.io.File]",false,15,2,2,2,0,1,3,4,1,1,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\GoGoGo\app\src\main\java\com\zcshou\utils\ShareUtils.java,com.zcshou.utils.ShareUtils,"shareFile/3[com.zcshou.utils.Context,java.io.File,java.lang.String]",false,20,3,1,0,1,1,6,7,0,1,3,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6,9,0,false
