file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,class,8,9,1,8,54,1,0,31,1033,0.95652175,0.0,0.0,46,0,44,2,0,0,44,0,0,0,1,1,0,1,0,0,1,0,10,330,2,4,0,6,0,139,18,140,12,140,2,0,0,26,154,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\main\java\org\json\XMLXsiTypeConverter.java,org.json.XMLXsiTypeConverter,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONObjectNumberTest.java,org.json.junit.JSONObjectNumberTest,class,6,6,0,6,23,1,0,29,0,0.34920636,0.0,0.0,21,1,21,0,0,0,21,0,0,0,3,0,0,3,0,0,1,0,5,69,1,0,2,0,0,31,21,4,0,3,0,0,0,0,34,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameSubClass.java,org.json.junit.data.MyBeanCustomNameSubClass,class,3,4,1,3,7,2,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,6,5,0,1,0,0,0,0,0,29,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONTokenerTest.java,org.json.junit.JSONTokenerTest,class,8,9,1,8,40,1,0,33,78,0.0,0.0,0.0,13,0,10,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,284,2,6,4,14,0,96,14,38,14,37,2,0,0,0,145,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\main\java\org\json\JSONException.java,org.json.JSONException,class,0,17,17,0,3,4,1,1,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,34,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\data\MyEnumClass.java,org.json.junit.data.MyEnumClass,class,2,3,1,2,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\main\java\org\json\JSONObject.java,org.json.JSONObject,class,15,46,31,15,486,1,0,209,7439,0.91798943,0.0,0.0,126,29,101,14,4,7,112,0,2,0,3,2,1,1,0,1,3,0,101,1377,224,19,84,31,50,105,107,154,34,128,7,0,1,0,679,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\data\SingletonEnum.java,org.json.junit.data.SingletonEnum,enum,1,3,2,1,6,1,0,0,11,0.6666667,0.0,0.0,6,1,5,1,0,0,5,0,1,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,0,0,2,0,2,0,0,0,0,37,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\main\java\org\json\HTTP.java,org.json.HTTP,class,4,5,1,4,16,1,0,17,1,0.33333334,0.0,0.0,3,2,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,63,2,2,0,0,0,25,0,7,0,7,2,0,0,0,100,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONArrayTest.java,org.json.junit.JSONArrayTest,class,14,15,1,14,148,1,0,156,1245,0.88235295,0.0,0.0,51,1,51,0,0,0,51,0,0,0,1,0,0,1,0,0,1,0,145,781,2,6,69,22,32,599,286,169,22,156,2,1,0,1,338,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\XMLTest.java,org.json.junit.XMLTest$Anonymous7,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\XMLConfigurationTest.java,org.json.junit.XMLConfigurationTest,class,10,11,1,10,65,1,0,50,861,0.97619045,0.0,0.0,42,0,39,3,0,0,39,0,0,0,1,0,1,0,0,0,0,0,89,473,0,0,15,10,0,475,31,187,30,156,2,0,0,0,292,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\XMLTest.java,org.json.junit.XMLTest$Anonymous6,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\main\java\org\json\JSONStringer.java,org.json.JSONStringer,class,1,2,1,1,3,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,106,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\data\MyBeanCustomNameInterface.java,org.json.junit.data.MyBeanCustomNameInterface,interface,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONStringerTest.java,org.json.junit.JSONStringerTest,class,5,5,0,5,24,1,0,30,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,155,0,0,7,7,14,539,35,19,0,19,1,0,0,0,74,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\data\ExceptionalBean.java,org.json.junit.data.ExceptionalBean$MyCloseable,innerclass,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,14,25,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONMLTest.java,org.json.junit.JSONMLTest,class,7,7,0,7,54,1,0,23,496,0.0,0.0,0.0,32,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,57,313,0,0,0,22,0,390,12,75,36,75,1,0,0,0,259,1,0
