file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenCompliantJSONObjectFile_testStrictModeTrue_shouldNotThrowAnyException/0,false,261,3,3,0,3,1,5,7,0,3,0,5,0,0,0,0,1,0,1,0,3,0,1,0,0,0,28,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenUnbalancedQuotesObject_testStrictModeFalse_shouldThrowJsonException/0,false,473,4,2,0,2,1,4,9,0,5,0,4,0,0,0,0,0,0,4,0,5,0,0,0,0,2,40,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,getNonCompliantJSONArrayList/0,false,555,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,29,2,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,getNonCompliantJSONObjectList/0,false,589,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,29,2,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputObject_testStrictModeTrue_JSONArrayUsingString_shouldThrowJSONException/0,false,542,4,0,0,0,1,4,7,0,1,0,4,0,0,0,0,0,0,2,0,1,0,1,0,0,1,38,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenValidEmptyArrayInsideObject_testStrictModeTrue_shouldNotThrowJsonException/0,false,177,3,4,0,4,1,3,6,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,26,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputObject_testStrictModeTrue_JSONArrayUsingJSONTokener_shouldThrowJSONException/0,false,533,5,0,0,0,1,4,7,0,1,0,4,0,0,0,0,0,0,2,0,1,0,1,0,0,1,38,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,verifyMaxDepthThenDuplicateKey/0,false,68,3,5,0,5,1,6,5,0,1,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenNonCompliantQuotesArray_testStrictModeTrue_shouldThrowJsonExceptionWithConcreteErrorDescription/0,false,390,4,2,0,2,1,4,15,0,9,0,4,0,0,0,0,0,0,8,0,9,0,0,0,0,4,45,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputObjectWithNumericStrings_testStrictModeTrue_shouldThrowInvalidCharacterErrorMessage/0,false,342,4,2,0,2,1,4,6,0,3,0,4,0,0,0,0,0,0,3,0,3,1,0,0,0,1,40,1,0,false
