file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,class,4,5,1,4,15,1,0,16,22,0.625,0.0,0.0,8,0,0,1,0,7,7,0,0,0,1,1,0,1,0,0,1,0,7,75,1,3,1,1,3,10,11,29,6,25,2,0,0,0,57,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\pdf\FontSubsetTest.java,com.lowagie.text.pdf.FontSubsetTest,class,12,13,1,12,11,1,0,27,6,0.0,0.0,0.0,4,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,63,1,1,4,3,0,4,3,22,0,21,3,0,0,0,64,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\FdfWriter.java,com.lowagie.text.pdf.FdfWriter,class,14,17,3,14,45,3,0,38,91,0.8666666,0.0,0.0,15,0,13,0,0,2,15,0,0,0,3,1,0,2,0,1,1,0,4,234,20,7,7,0,4,11,5,40,3,32,4,0,1,0,120,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\pdf-swing\src\main\java\com\lowagie\rups\model\IndirectObjectFactory.java,com.lowagie.rups.model.IndirectObjectFactory,class,6,10,4,6,16,1,0,15,25,0.74242425,0.0,0.0,11,0,10,1,0,0,10,0,0,0,6,0,0,0,6,0,0,0,0,67,11,1,1,0,0,0,1,12,0,11,2,0,0,0,121,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\PdfOCG.java,com.lowagie.text.pdf.PdfOCG,interface,2,11,9,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\Element.java,com.lowagie.text.Element,interface,2,40,38,2,6,1,0,0,15,1.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,49,0,0,0,0,49,0,0,0,57,0,0,0,0,0,0,49,49,0,49,0,0,0,0,178,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\pdf\metadata\CleanMetaDataTest.java,com.lowagie.text.pdf.metadata.CleanMetaDataTest,class,10,11,1,10,18,1,0,41,105,0.0,0.0,0.0,15,0,12,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,220,3,1,1,1,0,88,11,69,0,69,1,0,0,0,90,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\collection\PdfCollectionItem.java,com.lowagie.text.pdf.collection.PdfCollectionItem,class,10,12,2,10,14,2,0,6,25,0.5,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,1,56,0,0,4,0,0,1,0,12,0,12,1,0,0,0,58,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\pdf-toolbox\src\main\java\com\lowagie\toolbox\arguments\AbstractArgument.java,com.lowagie.toolbox.arguments.AbstractArgument,class,2,39,37,2,20,1,9,11,103,0.76842105,0.0,0.0,19,0,18,0,1,0,19,1,0,3,5,0,0,0,5,0,0,0,0,78,8,0,1,0,0,3,0,14,0,8,1,0,0,0,75,1025,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\pdf-toolbox\src\main\java\com\lowagie\tools\Executable.java,com.lowagie.tools.Executable,class,1,5,4,1,35,1,0,25,171,0.94736844,0.0,0.0,19,19,17,2,0,0,17,0,0,0,1,1,0,1,0,0,0,0,34,124,18,1,6,2,0,36,4,19,1,11,4,0,0,0,96,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\parser\PdfContentStreamHandler.java,com.lowagie.text.pdf.parser.PdfContentStreamHandler$TextMoveStartNextLine,innerclass,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,2,1,2,5,0,3,0,0,0,0,25,8,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\PdfLister.java,com.lowagie.text.pdf.PdfLister,class,10,11,1,10,18,1,0,20,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,3,81,1,3,3,1,1,8,3,13,4,12,3,0,0,0,71,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\factories\RomanNumberFactory.java,com.lowagie.text.factories.RomanNumberFactory,class,2,4,2,2,12,1,0,7,6,0.75,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,5,60,5,3,0,0,1,0,14,9,6,5,2,0,1,0,36,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\pdf\ExtraEncoding.java,com.lowagie.text.pdf.ExtraEncoding,interface,1,6,5,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\pdf-swing\src\main\java\com\lowagie\rups\view\itext\OutlineTree.java,com.lowagie.rups.view.itext.OutlineTree,class,9,11,2,9,11,5,0,13,0,0.625,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,1,0,1,1,0,1,0,0,53,3,0,6,0,0,0,1,13,0,13,2,0,0,0,91,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\HeaderFooterTest.java,com.lowagie.text.HeaderFooterTest,class,10,10,0,10,6,1,0,10,15,0.0,0.0,0.0,6,2,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,45,2,0,0,0,0,57,13,10,0,10,0,0,0,0,35,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\xml\xmp\PdfA1Schema.java,com.lowagie.text.xml.xmp.PdfA1Schema,class,2,4,2,2,3,5,0,2,3,0.7333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,5,4,1,0,0,5,0,0,17,0,0,0,0,0,8,1,5,1,5,0,0,0,0,45,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\main\java\com\lowagie\text\alignment\HorizontalAlignment.java,com.lowagie.text.alignment.HorizontalAlignment,enum,1,5,4,1,5,1,0,3,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,3,16,3,1,1,0,0,0,0,1,0,1,2,0,0,0,50,1,0
