file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,shouldReturnImageWithUrlForUrl/0,false,17,2,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,performanceTestJpgWithFilename/0,false,62,2,0,0,0,3,8,14,0,5,0,8,0,0,1,0,0,1,2,3,6,2,1,0,0,0,40,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,performanceTestGifWithFilename/0,false,78,2,0,0,0,3,7,14,0,5,0,7,0,0,1,0,0,1,2,4,6,2,1,0,0,0,39,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,shouldReturnImageWithoutUrl/0,false,37,4,1,0,1,1,8,7,0,2,0,8,1,1,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,readFileBytes/0,false,93,1,1,1,0,2,3,9,1,2,0,3,0,0,0,1,1,0,1,0,3,0,2,0,0,0,13,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,performanceTestPngFilename/0,false,46,2,0,0,0,3,7,14,0,5,0,7,0,0,1,0,0,1,2,3,6,2,1,0,0,0,38,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,shouldReturnImageWithUrlForPath/0,false,23,2,0,0,0,1,3,5,0,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,16,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\ImageTest.java,com.lowagie.text.ImageTest,shouldReturnImageWithUrlFromClasspath/0,false,30,2,0,0,0,1,3,5,0,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\pdf\FontSubsetTest.java,com.lowagie.text.pdf.FontSubsetTest,includeCidSetTest/0,false,61,2,1,0,1,1,1,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\OpenPDF\openpdf\src\test\java\com\lowagie\text\pdf\FontSubsetTest.java,com.lowagie.text.pdf.FontSubsetTest,createSubsetPrefixTest/0,false,25,5,1,0,1,1,7,15,0,7,0,7,1,1,0,0,0,0,1,1,7,0,0,0,0,0,20,0,0,false
