file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous71,onClick/1[com.sample.View],false,1031,9,12,0,12,3,14,62,2,0,1,14,0,0,0,2,0,0,1,0,1,0,1,5,0,0,26,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\prdownloader\src\main\java\com\downloader\database\DatabaseOpenHelper.java,com.downloader.database.DatabaseOpenHelper,"onUpgrade/3[com.downloader.database.SQLiteDatabase,int,int]",false,37,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\prdownloader\src\main\java\com\downloader\database\DatabaseOpenHelper.java,com.downloader.database.DatabaseOpenHelper,onCreate/1[com.downloader.database.SQLiteDatabase],false,22,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,22,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\prdownloader\src\main\java\com\downloader\database\DatabaseOpenHelper.java,com.downloader.database.DatabaseOpenHelper,DatabaseOpenHelper/1[com.downloader.database.Context],true,17,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous70,onClick/1[com.sample.View],false,1022,2,12,0,12,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous77,onClick/1[com.sample.View],false,1108,2,12,0,12,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous78,onClick/1[com.sample.View],false,1117,9,12,0,12,3,14,62,2,0,1,14,0,0,0,2,0,0,1,0,1,0,1,5,0,0,26,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous85$Anonymous88,onCancel/0,false,1238,0,0,0,0,1,4,8,0,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous85$Anonymous89,onProgress/1[com.downloader.Progress],false,1249,2,1,0,1,1,3,5,0,1,1,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PRDownloader\app\src\main\java\com\sample\MainActivity.java,com.sample.MainActivity$Anonymous85$Anonymous86,onStartOrResume/0,false,1222,0,0,0,0,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
