file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getCompletedSize/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getId/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getTrackers/0,false,79,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,isPrivate/0,false,75,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getHash/0,false,45,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getName/0,false,40,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getProgress/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,"BiglyBTTorrent/10[java.lang.String,java.lang.String,java.lang.String,long,long,double,long,long,boolean,java.util.List<java.util.List<java.lang.String>>]",true,21,0,1,1,0,1,0,12,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getSize/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getRtUploadSpeed/0,false,65,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,getRtDownloadSpeed/0,false,70,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,"PersistMetrics/5[com.ghostchu.peerbanhelper.database.dao.impl.HistoryDao,com.ghostchu.peerbanhelper.database.dao.impl.RuleDao,com.ghostchu.peerbanhelper.database.dao.impl.ModuleDao,com.ghostchu.peerbanhelper.database.dao.impl.TorrentDao,com.ghostchu.peerbanhelper.metric.impl.inmemory.InMemoryMetrics]",true,38,6,1,0,1,1,2,8,0,0,5,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,getPeerBanCounter/0,false,75,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,getPeerUnbanCounter/0,false,80,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,"recordPeerUnban/2[com.ghostchu.peerbanhelper.wrapper.PeerAddress,com.ghostchu.peerbanhelper.wrapper.BanMetadata]",false,135,3,1,0,1,2,2,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,recordCheck/0,false,85,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,flush/0,false,144,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,cleanup/0,false,47,2,2,0,2,4,15,18,0,2,0,15,0,0,0,0,2,0,4,1,2,0,3,0,0,0,18,2,3,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,"recordPeerBan/2[com.ghostchu.peerbanhelper.wrapper.PeerAddress,com.ghostchu.peerbanhelper.wrapper.BanMetadata]",false,90,11,10,0,10,4,30,15,1,3,2,30,0,0,0,1,1,0,0,0,3,0,1,0,0,0,23,1,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,close/0,false,160,2,2,0,2,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,getCheckCounter/0,false,70,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,validate/0,false,21,0,1,1,0,3,5,6,0,1,0,5,0,0,0,1,0,0,2,0,1,0,1,0,0,0,4,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,firewallIntegration/0,false,187,1,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,addPushProvider/1[com.ghostchu.peerbanhelper.config.YamlConfiguration],false,126,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,proxyServerConfigSectionEnhanced/0,false,160,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,1,0,false
