file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\pane\LoggingPane.java,software.coley.recaf.ui.pane.LoggingPane,"accept/4[java.lang.String,software.coley.recaf.ui.pane.Level,java.lang.String,java.lang.Throwable]",false,99,4,1,1,0,3,6,10,1,0,4,6,0,0,0,2,0,0,0,0,1,0,2,0,0,0,11,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\pane\LoggingPane.java,software.coley.recaf.ui.pane.LoggingPane,"accept/3[java.lang.String,software.coley.recaf.ui.pane.Level,java.lang.String]",false,94,4,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\pane\LoggingPane.java,software.coley.recaf.ui.pane.LoggingPane,"LoggingPane/2[software.coley.recaf.ui.pane.RecafDirectoriesConfig,software.coley.recaf.ui.control.richtext.search.SearchBar]",true,54,10,4,0,4,5,22,31,1,3,2,22,0,0,1,1,1,1,3,7,3,4,4,0,0,2,29,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\pane\LoggingPane.java,software.coley.recaf.ui.pane.LoggingPane,"LogCallInfo/2[software.coley.recaf.ui.pane.Level,java.lang.Throwable]",false,113,4,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\control\popup\OverrideMethodPopup.java,software.coley.recaf.ui.control.popup.OverrideMethodPopup,"OverrideMethodPopup/6[software.coley.recaf.ui.control.popup.Actions,software.coley.recaf.ui.control.popup.CellConfigurationService,software.coley.recaf.ui.control.popup.InheritanceGraph,software.coley.recaf.ui.control.popup.Workspace,software.coley.recaf.ui.control.popup.ClassInfo,java.util.function.BiConsumer<software.coley.recaf.ui.control.popup.ClassInfo,software.coley.recaf.ui.control.popup.MethodMember>]",true,46,23,4,0,4,7,33,36,1,11,6,33,0,0,1,2,0,1,2,7,10,0,4,0,0,3,53,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-ui\src\main\java\software\coley\recaf\ui\control\popup\OverrideMethodPopup.java,software.coley.recaf.ui.control.popup.OverrideMethodPopup,"accept/1[java.util.function.BiConsumer<software.coley.recaf.ui.control.popup.ClassInfo,software.coley.recaf.ui.control.popup.MethodMember>]",false,87,6,0,0,0,4,6,9,0,3,1,6,0,0,0,2,0,0,0,0,3,0,2,0,0,0,15,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-core\src\main\java\software\coley\recaf\util\StringDiff.java,software.coley.recaf.util.StringDiff,"Diff/7[software.coley.recaf.util.StringDiff.DiffType,int,int,int,int,java.lang.String,java.lang.String]",false,137,3,0,0,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-core\src\main\java\software\coley\recaf\util\StringDiff.java,software.coley.recaf.util.StringDiff,"diff/2[java.lang.String,java.lang.String]",false,30,8,5,0,5,9,19,40,1,19,2,19,1,1,1,1,0,0,0,6,29,6,3,0,0,0,28,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-core\src\main\java\software\coley\recaf\util\StringDiff.java,software.coley.recaf.util.StringDiff,computeNewlineOffsets/1[java.lang.String],false,89,3,2,1,1,5,4,22,2,4,1,4,0,0,0,3,0,0,0,15,8,4,2,0,0,0,26,10,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Recaf\recaf-core\src\main\java\software\coley\recaf\services\search\query\ReferenceQuery.java,software.coley.recaf.services.search.query.ReferenceQuery,ReferenceQuery/1[software.coley.recaf.services.search.match.StringPredicate],true,63,2,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,1,0,true
