file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\up\MutexLoginController.java,com.pj.cases.up.MutexLoginController,"login/2[long,java.lang.String]",false,51,3,2,0,2,1,2,4,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\up\MutexLoginController.java,com.pj.cases.up.MutexLoginController,isLogin/0,false,62,3,3,0,3,1,3,4,1,1,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getHost/0,false,135,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getParamMap/0,false,64,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getSource/0,false,37,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getUrl/0,false,120,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getParamNames/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getCookieValue/1[java.lang.String],false,81,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,forward/1[java.lang.String],false,143,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getHeader/1[java.lang.String],false,72,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
