file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\util\InstantAdapter.java,org.whispersystems.textsecuregcm.util.InstantAdapter$EpochSecondSerializer,"serialize/3[java.time.Instant,org.whispersystems.textsecuregcm.util.JsonGenerator,org.whispersystems.textsecuregcm.util.SerializerProvider]",false,20,2,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"run/2[org.whispersystems.textsecuregcm.WhisperServerConfiguration,org.whispersystems.textsecuregcm.Environment]",false,344,190,63,3,60,15,280,345,7,190,2,280,1,1,2,5,2,0,70,51,188,0,3,2,0,10,398,1,9,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,getName/0,false,339,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,initialize/1[org.whispersystems.textsecuregcm.Bootstrap<org.whispersystems.textsecuregcm.WhisperServerConfiguration>],false,299,22,18,0,18,1,11,25,0,4,1,11,0,0,0,0,0,0,3,0,4,0,0,0,0,0,89,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"registerExceptionMappers/3[org.whispersystems.textsecuregcm.Environment,org.whispersystems.textsecuregcm.WebSocketEnvironment<org.whispersystems.textsecuregcm.AuthenticatedDevice>,org.whispersystems.textsecuregcm.WebSocketEnvironment<org.whispersystems.textsecuregcm.AuthenticatedDevice>]",false,1172,16,2,1,1,1,4,8,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,main/1[java.lang.String[]],false,1196,1,2,0,2,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,getMaxBinaryMessageSize/0,false,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,getRequestLog/0,false,31,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,getMaxTextMessageSize/0,false,39,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\BufferingInterceptorIntegrationTest.java,org.whispersystems.textsecuregcm.BufferingInterceptorIntegrationTest$TestApplication,"run/2[org.whispersystems.textsecuregcm.Configuration,org.whispersystems.textsecuregcm.Environment]",false,33,5,3,0,3,1,4,7,0,1,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\controllers\PaymentsControllerTest.java,org.whispersystems.textsecuregcm.controllers.PaymentsControllerTest,testGetAuthToken/0,false,66,2,0,0,0,1,10,5,0,1,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\controllers\PaymentsControllerTest.java,org.whispersystems.textsecuregcm.controllers.PaymentsControllerTest,setup/0,false,50,3,0,0,0,1,9,4,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,false
