file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\ThirdActivity.java,com.coorchice.supertextview.ThirdActivity$Anonymous2,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,enum,1,2,1,1,11,1,0,10,13,0.75,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,1,1,0,0,1,0,2,42,4,0,3,0,0,6,5,6,1,5,2,0,0,0,28,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\image_engine\DefaultEngine.java,com.coorchice.library.image_engine.DefaultEngine$Anonymous2,anonymous,7,7,0,7,7,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,34,2,0,3,1,0,0,1,8,0,5,3,1,0,0,18,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\SuperTextView\ImageEngine\GlideEngine.java,com.coorchice.supertextview.SuperTextView.ImageEngine.GlideEngine,class,4,4,0,4,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\image_engine\DefaultEngine.java,com.coorchice.library.image_engine.DefaultEngine$Anonymous1,anonymous,1,1,0,1,2,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,1,0,0,0,0,0,4,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\utils\ThreadPool.java,com.coorchice.library.utils.ThreadPool,class,2,10,8,2,7,1,0,8,0,0.4166667,0.0,0.0,6,4,5,1,0,0,5,0,2,1,2,0,0,2,0,0,0,0,6,29,3,0,1,0,0,0,2,2,1,2,1,0,1,0,16,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\SuperTextView\ImageEngine\PicassoEngine.java,com.coorchice.supertextview.SuperTextView.ImageEngine.PicassoEngine,class,4,4,0,4,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\utils\track\Event.java,com.coorchice.library.utils.track.Event,class,0,2,2,0,2,1,1,0,0,0.9166667,0.0,0.0,2,0,1,0,0,1,2,0,0,0,12,11,12,0,0,0,11,0,0,20,1,0,0,0,0,11,0,12,0,12,0,0,0,0,19,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\GifListActivity.java,com.coorchice.supertextview.GifListActivity$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\ThirdActivity.java,com.coorchice.supertextview.ThirdActivity$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\MainActivity.java,com.coorchice.supertextview.MainActivity$Anonymous2$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\MainActivity.java,com.coorchice.supertextview.MainActivity$Anonymous2$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\gifdecoder\GifDrawable.java,com.coorchice.library.gifdecoder.GifDrawable$Anonymous2,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\gifdecoder\GifDrawable.java,com.coorchice.library.gifdecoder.GifDrawable$Anonymous1,anonymous,4,4,0,4,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\utils\ThreadPool.java,com.coorchice.library.utils.ThreadPool$Holder,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,26,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\image_engine\Engine.java,com.coorchice.library.image_engine.Engine,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\SuperTextView\ImageEngine\GlideEngine.java,com.coorchice.supertextview.SuperTextView.ImageEngine.GlideEngine$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
