file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\ThirdActivity.java,com.coorchice.supertextview.ThirdActivity$Anonymous2,onClick/1[com.coorchice.supertextview.View],false,56,3,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,deltaT/1[long],false,43,0,1,1,0,2,0,10,2,1,1,0,0,0,0,1,0,0,0,3,2,1,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,"printDeltaT/2[java.lang.String,long]",false,57,1,2,1,1,3,5,15,1,2,2,5,1,1,0,1,0,0,5,1,2,0,1,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,printDeltaT/1[java.lang.String],false,53,1,2,1,1,1,2,3,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,begin/0,false,35,1,1,0,1,1,2,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,begin/1[long],false,39,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\Utils\Timer.java,com.coorchice.supertextview.Utils.Timer,"logDeltaT/2[java.lang.String,int]",false,72,1,1,0,1,3,2,5,0,0,2,2,1,3,0,1,0,0,1,0,0,0,2,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\library\src\main\java\com\coorchice\library\image_engine\DefaultEngine.java,com.coorchice.library.image_engine.DefaultEngine$Anonymous2,run/0,false,71,7,19,0,19,7,11,32,2,5,0,11,0,0,0,3,1,0,0,1,8,0,3,1,0,0,18,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\SuperTextView\ImageEngine\GlideEngine.java,com.coorchice.supertextview.SuperTextView.ImageEngine.GlideEngine,GlideEngine/1[com.coorchice.supertextview.SuperTextView.ImageEngine.Context],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\SuperTextView\app\src\main\java\com\coorchice\supertextview\SuperTextView\ImageEngine\GlideEngine.java,com.coorchice.supertextview.SuperTextView.ImageEngine.GlideEngine,"load/2[java.lang.String,com.coorchice.library.ImageEngine.Callback]",false,44,2,0,0,0,1,3,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,false
