file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\SimpleClock.java,android.os.SimpleClock$Anonymous1,millis/0,false,41,1,4,0,4,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,clone/0,false,219,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,"getShort/2[java.lang.String,short]",false,743,0,1,1,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,getShort/1[java.lang.String],false,731,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,getSparseParcelableArray/1[java.lang.String],false,933,5,3,0,3,3,3,14,3,1,1,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,31,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,"Bundle/2[android.os.Parcel,int]",true,81,3,1,0,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,36,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,Bundle/1[android.os.Parcel],true,69,3,1,0,1,1,1,5,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,36,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,"putParcelableArray/2[java.lang.String,android.os.Parcelable[]]",false,494,4,3,1,2,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,toShortString/0,false,1174,2,2,0,2,3,3,11,3,0,0,3,0,0,0,1,0,0,2,0,0,1,2,0,0,0,10,33,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,hasFileDescriptors/0,false,285,3,5,2,3,28,9,61,1,12,0,9,0,0,4,10,0,10,0,15,20,4,7,0,0,0,42,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,getParcelable/1[java.lang.String],false,866,4,4,1,3,3,3,14,3,1,1,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,29,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,getIBinder/1[java.lang.String],false,1098,4,3,0,3,3,3,14,3,1,1,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,33,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,"putCharSequence/2[java.lang.String,java.lang.CharSequence]",false,449,1,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,getCharArray/1[java.lang.String],false,1034,2,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Suwayomi-Server\AndroidCompat\src\main\java\android\os\Bundle.java,android.os.Bundle,"forPair/2[java.lang.String,java.lang.String]",false,157,2,2,0,2,1,1,5,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,0,true
