file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\SystemToast.java,com.hjq.toast.SystemToast,SystemToast/1[com.hjq.toast.Application],true,22,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\SystemToast.java,com.hjq.toast.SystemToast,setText/1[java.lang.CharSequence],false,37,0,0,0,0,2,1,7,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\SystemToast.java,com.hjq.toast.SystemToast,setView/1[com.hjq.toast.View],false,27,2,1,0,1,2,2,8,1,0,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\app\src\main\java\com\hjq\toast\demo\MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous5,run/0,false,163,1,16,0,16,3,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\app\src\main\java\com\hjq\toast\demo\MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous2,run/0,false,76,1,16,0,16,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,findMessageView/1[com.hjq.toast.config.View],false,90,2,2,2,0,5,3,16,2,1,1,3,0,0,0,2,0,1,3,0,1,1,2,0,0,0,23,65536,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,setDuration/1[int],false,42,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,show/0,false,15,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,"setGravity/3[int,int,int]",false,52,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getYOffset/0,false,67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getXOffset/0,false,62,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getHorizontalMargin/0,false,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,setText/1[int],false,25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getDuration/0,false,47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,setText/1[java.lang.CharSequence],false,30,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,setView/1[com.hjq.toast.config.View],false,32,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getView/0,false,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getVerticalMargin/0,false,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,cancel/0,false,20,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,"setMargin/2[float,float]",false,72,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToast.java,com.hjq.toast.config.IToast,getGravity/0,false,57,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\app\src\main\java\com\hjq\toast\demo\MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous1,onTitleClick/1[com.hjq.toast.demo.TitleBar],false,40,2,0,0,0,1,5,5,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\app\src\main\java\com\hjq\toast\demo\MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous4,run/0,false,154,1,16,0,16,1,2,5,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\app\src\main\java\com\hjq\toast\demo\MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous3,run/0,false,147,0,16,0,16,1,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToastStyle.java,com.hjq.toast.config.IToastStyle,getGravity/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65536,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\Toaster\library\src\main\java\com\hjq\toast\config\IToastStyle.java,com.hjq.toast.config.IToastStyle,getHorizontalMargin/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,65536,0,true
