file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\work\src\main\java\com\kakarote\work\service\IWorkTaskRelationService.java,com.kakarote.work.service.IWorkTaskRelationService,saveWorkTaskRelation/1[com.kakarote.work.entity.PO.WorkTaskRelation],false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\gateway\src\main\java\com\kakarote\gateway\config\FeignConfig.java,com.kakarote.gateway.config.FeignConfig,feignHttpMessageConverter/0,false,36,3,2,1,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\gateway\src\main\java\com\kakarote\gateway\config\FeignConfig.java,com.kakarote.gateway.config.FeignConfig,apply/1[com.kakarote.gateway.config.RequestTemplate],false,43,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\gateway\src\main\java\com\kakarote\gateway\config\FeignConfig.java,com.kakarote.gateway.config.FeignConfig,feignDecoder/0,false,32,5,2,0,2,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,updateReceivablesPlan/0,false,125,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,queryReturnVisitInfo/1[java.util.Collection],false,50,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,queryProductInfo/0,false,110,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,putInInternational/0,false,130,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,queryNameCustomerInfo/1[java.lang.String],false,72,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\WukongCRM-11.0-JAVA\core\src\main\java\com\kakarote\core\feign\crm\service\impl\CrmServiceImpl.java,com.kakarote.core.feign.crm.service.impl.CrmServiceImpl,queryCustomerPageList/1[com.kakarote.core.feign.crm.entity.CrmSearchBO],false,145,3,2,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
