file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"getPermissionSettingIntent/2[com.hjq.permissions.Context,java.lang.String]",false,35,5,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"isGrantedPermission/2[com.hjq.permissions.Context,java.lang.String]",false,17,4,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"isDoNotAskAgainPermission/2[com.hjq.permissions.Activity,java.lang.String]",false,26,3,1,0,1,2,2,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous10$Anonymous11,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,250,3,11,0,11,2,5,12,1,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous15$Anonymous16,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,324,3,11,0,11,2,4,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"getPermissionSettingIntent/2[com.hjq.permissions.Context,java.lang.String]",false,35,5,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"isGrantedPermission/2[com.hjq.permissions.Context,java.lang.String]",false,17,4,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"isDoNotAskAgainPermission/2[com.hjq.permissions.Activity,java.lang.String]",false,26,3,1,0,1,2,2,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous8,run/0,false,210,3,4,0,4,1,4,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous6,run/0,false,179,3,4,0,4,1,4,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous13$Anonymous14,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,291,3,11,0,11,2,5,7,1,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous8$Anonymous9,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,217,3,11,0,11,2,4,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,setCheckMode/1[boolean],false,50,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,unchecked/0,false,141,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,"startPermissionActivity/3[android.support.v4.app.Fragment,java.util.List<java.lang.String>,int]",false,507,7,4,0,4,3,6,12,2,2,3,6,0,0,0,1,0,0,0,0,2,0,1,0,0,0,9,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,startPermissionActivity/1[com.hjq.permissions.Fragment],false,421,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,permission/1[java.util.List<java.lang.String>],false,116,3,3,2,1,5,3,12,2,0,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,1,0,false
