file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\assistant\AssistantFileResponse.java,com.unfbx.chatgpt.entity.assistant.AssistantFileResponse,class,8,11,3,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,14,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\constant\OpenAIConst.java,com.unfbx.chatgpt.constant.OpenAIConst,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,12,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\images\Item.java,com.unfbx.chatgpt.entity.images.Item,class,3,6,3,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\assistant\Assistant.java,com.unfbx.chatgpt.entity.assistant.Assistant,class,9,12,3,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,10,0,0,0,0,58,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\chat\BaseChatCompletion.java,com.unfbx.chatgpt.entity.chat.BaseChatCompletion,class,11,13,2,11,0,1,2,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,37,0,0,0,0,0,9,6,8,0,19,0,0,1,0,85,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\assistant\run\RunStepResponse.java,com.unfbx.chatgpt.entity.assistant.run.RunStepResponse$Status,enum,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,0,0,0,10,0,0,0,2,0,0,0,0,21,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,class,9,12,3,9,8,1,0,2,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,33,1,0,0,0,0,2,6,10,0,6,1,0,1,0,41,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\fineTune\job\FineTuneJobResponse.java,com.unfbx.chatgpt.entity.fineTune.job.FineTuneJobResponse,class,5,8,3,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,17,0,0,0,0,0,15,0,0,0,15,0,0,0,0,35,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\test\java\com\unfbx\chatgpt\FirstKeyStrategy.java,com.unfbx.chatgpt.FirstKeyStrategy,class,1,7,6,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\assistant\run\Image.java,com.unfbx.chatgpt.entity.assistant.run.Image,class,8,9,1,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0
