file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setModel/1[com.unfbx.chatgpt.entity.edits.Edit.Model],false,60,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setTemperature/1[double],false,64,0,0,0,0,3,1,8,1,0,1,1,0,0,0,0,0,0,1,3,2,0,1,0,0,0,3,1,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setInput/1[java.lang.String],false,82,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setN/1[java.lang.Integer],false,78,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setInstruction/1[java.lang.String],false,86,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\main\java\com\unfbx\chatgpt\entity\edits\Edit.java,com.unfbx.chatgpt.entity.edits.Edit,setTopP/1[java.lang.Double],false,74,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\test\java\com\unfbx\chatgpt\FirstKeyStrategy.java,com.unfbx.chatgpt.FirstKeyStrategy,apply/1[java.util.List<java.lang.String>],false,22,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\test\java\com\unfbx\chatgpt\ConsoleEventSourceListenerV2.java,com.unfbx.chatgpt.ConsoleEventSourceListenerV2,ConsoleEventSourceListenerV2/1[java.util.concurrent.CountDownLatch],true,28,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\test\java\com\unfbx\chatgpt\ConsoleEventSourceListenerV2.java,com.unfbx.chatgpt.ConsoleEventSourceListenerV2,onClosed/1[com.unfbx.chatgpt.EventSource],false,52,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\chatgpt-java\src\test\java\com\unfbx\chatgpt\ConsoleEventSourceListenerV2.java,com.unfbx.chatgpt.ConsoleEventSourceListenerV2,"onOpen/2[com.unfbx.chatgpt.EventSource,com.unfbx.chatgpt.Response]",false,33,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
