file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-test\src\main\java\org\apache\dubbo\admin\ConsumerBootstrap.java,org.apache.dubbo.admin.ConsumerBootstrap,main/1[java.lang.String[]],false,34,6,0,0,0,2,8,21,0,5,1,8,0,0,0,0,1,0,8,1,7,0,1,0,0,0,19,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\controller\UserController.java,org.apache.dubbo.admin.controller.UserController,logout/0,false,80,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\controller\UserController.java,org.apache.dubbo.admin.controller.UserController,"login/4[org.apache.dubbo.admin.controller.HttpServletRequest,org.apache.dubbo.admin.controller.HttpServletResponse,java.lang.String,java.lang.String]",false,51,8,3,0,3,9,10,27,3,6,4,10,0,0,1,1,0,1,1,0,8,0,2,0,0,0,24,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\registry\mapping\ServiceMapping.java,org.apache.dubbo.admin.registry.mapping.ServiceMapping,addMappingListener/1[org.apache.dubbo.admin.registry.mapping.MappingListener],false,34,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\registry\mapping\ServiceMapping.java,org.apache.dubbo.admin.registry.mapping.ServiceMapping,listenerAll/0,false,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\registry\mapping\ServiceMapping.java,org.apache.dubbo.admin.registry.mapping.ServiceMapping,init/1[org.apache.dubbo.admin.registry.mapping.URL],false,30,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-test\src\test\java\org\apache\dubbo\admin\pages\LoginPage.java,org.apache.dubbo.admin.pages.LoginPage,logout/0,false,52,1,0,0,0,1,3,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-test\src\test\java\org\apache\dubbo\admin\pages\LoginPage.java,org.apache.dubbo.admin.pages.LoginPage,loginWithRoot/0,false,40,1,1,1,0,1,7,8,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\service\impl\GenericServiceImpl.java,org.apache.dubbo.admin.service.impl.GenericServiceImpl,"GenericServiceImpl/2[org.apache.dubbo.admin.service.impl.Registry,org.apache.dubbo.admin.service.ProviderService]",true,43,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\service\impl\GenericServiceImpl.java,org.apache.dubbo.admin.service.impl.GenericServiceImpl,init/0,false,49,4,1,0,1,1,3,6,0,1,0,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,7,1,0,false
