file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,"convertToJavaData/3[cn.idev.excel.metadata.data.ReadCellData<?>,cn.idev.excel.metadata.property.ExcelContentProperty,cn.idev.excel.metadata.GlobalConfiguration]",false,29,3,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,supportJavaTypeKey/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,"convertToExcelData/3[java.lang.String,cn.idev.excel.metadata.property.ExcelContentProperty,cn.idev.excel.metadata.GlobalConfiguration]",false,35,3,1,0,1,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,supportExcelTypeKey/0,false,23,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,t02ReadAndWrite03/0,false,56,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,t03ReadAndWriteStream07/0,false,61,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,readAndWrite/1[java.io.File],false,70,3,4,2,2,1,7,4,0,0,1,7,1,1,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,data/0,false,86,1,3,2,1,2,2,9,1,3,0,2,0,0,1,0,0,0,1,2,3,1,1,0,0,0,6,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,"readAndWriteStream/2[java.io.File,cn.idev.excel.test.core.encrypt.ExcelTypeEnum]",false,75,4,4,2,2,1,9,7,0,2,2,9,1,1,0,0,0,0,2,0,2,0,0,0,0,0,15,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,t01ReadAndWrite07/0,false,51,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,t04ReadAndWriteStream03/0,false,66,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,testformat/0,false,34,1,0,0,0,1,3,6,0,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,init/0,false,43,2,1,0,1,1,1,6,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,9,0,false
