file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,testSerializeWithHeaders/0,false,85,4,0,0,0,2,12,14,0,6,0,12,0,0,0,0,1,0,3,0,7,0,1,0,0,0,28,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,testClose/0,false,106,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,setUp/0,false,51,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,testSerializeWithMetricsData/0,false,65,3,0,0,0,1,6,5,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,10,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,testConfigure/0,false,59,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,testSerializeWithNullMetricsData/0,false,77,2,0,0,0,1,2,4,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-alerter\src\test\java\org\apache\hertzbeat\alert\service\DataSourceServiceTest.java,org.apache.hertzbeat.alert.service.DataSourceServiceTest,calculate7/0,false,172,3,2,0,2,1,16,11,0,3,0,16,0,0,0,0,0,0,13,8,3,0,0,0,0,0,15,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-alerter\src\test\java\org\apache\hertzbeat\alert\service\DataSourceServiceTest.java,org.apache.hertzbeat.alert.service.DataSourceServiceTest,calculate24/0,false,510,3,2,0,2,1,12,9,0,3,0,12,0,0,0,0,0,0,3,1,3,0,0,0,0,0,10,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-alerter\src\test\java\org\apache\hertzbeat\alert\service\DataSourceServiceTest.java,org.apache.hertzbeat.alert.service.DataSourceServiceTest,calculate18/0,false,378,3,2,0,2,1,14,12,0,4,0,14,0,0,0,0,0,0,22,11,4,0,0,0,0,0,17,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\hertzbeat\hertzbeat-alerter\src\test\java\org\apache\hertzbeat\alert\service\DataSourceServiceTest.java,org.apache.hertzbeat.alert.service.DataSourceServiceTest,calculate19/0,false,400,3,2,0,2,1,15,12,0,4,0,15,0,0,0,0,0,0,22,10,4,0,0,0,0,0,18,0,0,false
