file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-base\src\main\java\org\drools\base\rule\ConditionalBranch.java,org.drools.base.rule.ConditionalBranch,class,7,9,2,7,22,2,0,14,40,0.54901963,0.0,0.0,17,0,17,0,0,0,17,0,0,0,3,0,0,3,0,0,0,0,3,71,16,0,5,0,2,2,2,7,4,4,1,0,0,0,81,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-core\src\main\java\org\drools\core\util\LinkedList.java,org.drools.core.util.LinkedList$TMSLinkedListFastIterator,innerclass,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-base\src\main\java\org\drools\base\rule\MultiAccumulate.java,org.drools.base.rule.MultiAccumulate,class,12,14,2,12,39,3,0,26,0,0.44444445,0.0,0.0,18,0,18,0,0,0,18,0,0,0,2,0,0,2,0,0,0,0,5,159,20,10,6,0,10,1,10,35,6,24,2,0,1,0,86,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-legacy-test-util\src\test\java\org\drools\mvel\compiler\Alarm.java,org.drools.mvel.compiler.Alarm,class,1,2,1,1,17,1,0,3,9,0.55,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,0,0,0,55,10,0,6,0,2,2,3,7,3,5,2,0,0,0,28,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-model\drools-model-codegen\src\test\java\org\drools\model\codegen\execmodel\CompilationFailuresTest.java,org.drools.model.codegen.execmodel.CompilationFailuresTest$NameLengthCount,innerclass,1,1,0,1,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,10,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-examples\src\main\java\org\drools\games\invaders\Invaders3Main.java,org.drools.games.invaders.Invaders3Main,class,7,8,1,7,4,1,0,11,6,1.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,33,0,0,0,0,0,3,1,6,0,6,0,1,0,0,31,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-model\drools-canonical-model\src\main\java\org\drools\model\impl\From11Impl.java,org.drools.model.impl.From11Impl,class,16,18,2,16,31,1,0,2,38,0.7548077,0.0,0.0,16,0,16,0,0,0,16,0,0,0,13,0,0,13,0,0,13,0,11,90,28,0,4,0,1,0,0,14,0,14,1,0,0,0,39,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-core\src\test\java\org\drools\core\reteoo\builder\ReteooRuleBuilderTest.java,org.drools.core.reteoo.builder.ReteooRuleBuilderTest,class,12,12,0,12,2,1,0,12,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,36,0,0,0,0,0,3,5,10,0,10,0,1,0,0,42,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-model\drools-mvel-parser\src\main\java\org\drools\mvel\parser\ast\expr\TemporalChunkExpr.java,org.drools.mvel.parser.ast.expr.TemporalChunkExpr,class,2,5,3,2,2,2,2,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-persistence\drools-persistence-jpa\src\test\java\org\drools\persistence\session\RuleFlowGroupRollbackTest.java,org.drools.persistence.session.RuleFlowGroupRollbackTest$ActivateRuleFlowCommand,innerclass,5,5,0,5,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,2,1,0,2,0,2,0,0,0,0,18,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\incubator-kie-drools\drools-mvel\src\main\java\org\drools\mvel\evaluators\MeetsEvaluatorDefinition.java,org.drools.mvel.evaluators.MeetsEvaluatorDefinition$MeetsEvaluator,innerclass,12,12,0,12,34,2,0,19,21,0.6904762,0.0,0.0,14,0,13,1,0,0,13,0,0,0,3,1,0,3,0,0,1,0,3,90,15,0,7,0,13,9,10,16,9,12,2,0,0,0,101,9,0
