file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\config\verification\ConfigVerificationService.java,org.jetlinks.community.config.verification.ConfigVerificationService,class,11,11,0,11,11,1,0,33,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,4,44,10,1,2,0,0,17,3,4,2,8,3,0,0,10,46,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\dashboard-component\src\main\java\org\jetlinks\community\dashboard\MeasurementParameter.java,org.jetlinks.community.dashboard.MeasurementParameter,class,5,10,5,5,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,9,2,0,0,0,0,1,0,1,0,2,0,0,0,1,11,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-manager\authentication-manager\src\main\java\org\jetlinks\community\auth\configuration\MenuProperties.java,org.jetlinks.community.auth.configuration.MenuProperties,class,4,6,2,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,6,1,0,0,0,0,2,0,1,0,1,0,0,0,0,11,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\notify-component\notify-core\src\main\java\org\jetlinks\community\notify\rule\RuleNotifierProperties.java,org.jetlinks.community.notify.rule.RuleNotifierProperties,class,7,9,2,7,10,1,0,20,4,0.6875,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,4,40,2,1,1,0,1,4,0,5,0,10,3,0,0,1,39,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-manager\notify-manager\src\main\java\org\jetlinks\community\notify\manager\subscriber\channel\notifiers\SmsNotifyChannelProvider.java,org.jetlinks.community.notify.manager.subscriber.channel.notifiers.SmsNotifyChannelProvider,class,4,4,0,4,3,2,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\config\ConfigScope.java,org.jetlinks.community.config.ConfigScope,class,6,12,6,6,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\dashboard-component\src\main\java\org\jetlinks\community\dashboard\measurements\sys\MemoryInfo.java,org.jetlinks.community.dashboard.measurements.sys.MemoryInfo,class,9,13,4,9,5,1,0,1,0,0.48571435,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,1,0,7,0,0,1,0,3,24,5,0,0,0,6,6,4,1,21,7,0,0,0,0,24,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\network-component\network-core\src\main\java\org\jetlinks\community\network\PubSubType.java,org.jetlinks.community.network.PubSubType,enum,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\PropertyMetadataConstants.java,org.jetlinks.community.PropertyMetadataConstants$Source,interface,3,3,0,3,3,1,0,6,0,0.5,0.0,0.0,3,3,0,0,0,3,3,0,0,0,4,0,0,0,0,4,0,0,0,15,2,0,0,0,0,3,0,4,0,4,0,0,0,0,16,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\utils\ReactorUtils.java,org.jetlinks.community.utils.ReactorUtils$Anonymous1,anonymous,3,3,0,3,3,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,0,0,2,0,3,1,0,0,1,18,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jetlinks-community\jetlinks-manager\logging-manager\src\main\java\org\jetlinks\community\logging\controller\SystemLoggerController.java,org.jetlinks.community.logging.controller.SystemLoggerController,class,16,16,0,16,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,8,0,0,0,2,0,0,0,1,21,1,0
