file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,85,4,2,1,1,1,2,3,1,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,validateCharset/1[java.lang.String],false,368,1,2,2,0,6,5,12,4,0,1,5,0,0,0,2,1,0,2,1,2,0,2,0,0,0,8,10,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",false,67,3,4,3,1,1,2,3,1,0,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",false,178,5,4,1,3,1,3,3,1,0,3,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,37,9,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],false,357,2,9,8,1,3,6,10,3,2,1,6,1,1,0,1,0,0,2,1,3,0,1,0,0,0,31,8,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,openStream/1[java.nio.file.Path],false,153,2,4,2,2,5,10,17,1,4,1,10,0,0,0,2,1,1,2,4,5,0,3,0,0,0,32,10,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[org.jsoup.internal.ControllableInputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,222,6,13,10,3,3,3,13,2,2,4,3,2,3,0,2,1,0,0,0,3,0,2,0,0,0,18,8,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,true,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,emptyByteBuffer/0,false,347,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.nio.file.Path,java.lang.String,java.lang.String]",false,100,4,6,4,2,1,2,3,1,0,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
