file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,start/0,false,90,2,2,0,2,4,8,14,0,2,0,8,2,1,0,1,0,0,5,1,2,2,1,0,0,1,43,1,2,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,getScheduleInterval/0,false,122,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1028,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,getElapsedMilliSinceLastSchedule/1[java.time.Instant],false,74,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,onSchedule/1[java.time.Instant],false,78,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1028,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,run/1[java.time.Instant],false,54,2,3,1,2,3,8,16,0,2,1,8,2,1,0,0,1,2,2,1,3,2,2,0,0,0,27,1,2,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,isLivenessEnabled/0,false,118,0,2,2,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,lastScheduledExecution/0,false,70,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,"AbstractServiceLivenessTask/2[java.lang.String,io.kestra.core.server.ServerConfig]",true,37,1,0,0,0,1,3,5,0,0,2,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,15,4,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,close/0,false,134,1,0,0,0,6,8,19,1,0,0,8,0,0,0,1,1,0,3,1,0,0,3,0,0,0,12,1,3,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,run/0,false,47,1,1,0,1,2,3,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,EscapeCharFilter/0,true,19,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,"apply/5[java.lang.Object,java.util.Map<java.lang.String,java.lang.Object>,io.kestra.core.runners.pebble.filters.PebbleTemplate,io.kestra.core.runners.pebble.filters.EvaluationContext,int]",false,30,3,3,0,3,4,4,14,4,0,5,4,3,3,0,1,0,0,1,0,0,0,1,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,"escape/3[java.lang.String,java.lang.String,java.lang.String]",false,105,0,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,"escapeString/4[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,io.kestra.core.runners.pebble.filters.PebbleTemplate,int]",false,79,1,3,3,0,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,"argsToType/3[java.util.Map<java.lang.String,java.lang.Object>,io.kestra.core.runners.pebble.filters.PebbleTemplate,int]",false,86,3,0,0,0,3,4,12,1,1,3,4,0,0,0,0,1,0,4,0,1,2,1,0,0,0,30,2,0,false
