file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\authentication\authenticators\browser\UsernameFormFactory.java,org.keycloak.authentication.authenticators.browser.UsernameFormFactory,class,8,8,0,8,12,1,0,0,64,0.8888889,0.0,0.0,12,0,12,0,0,0,12,0,0,0,3,3,3,0,0,0,3,0,0,38,9,0,0,0,0,3,0,3,0,3,0,0,0,0,58,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\server-spi\src\main\java\org\keycloak\models\ClientProvider.java,org.keycloak.models.ClientProvider,interface,6,9,3,6,12,1,0,2,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\quarkus\runtime\src\main\java\org\keycloak\quarkus\runtime\configuration\mappers\PropertyMapper.java,org.keycloak.quarkus.runtime.configuration.mappers.PropertyMapper$Builder,innerclass,9,9,0,9,25,1,0,26,68,0.8274509,0.0,0.0,17,0,17,0,0,0,17,0,0,0,15,0,0,15,0,0,1,0,4,122,19,0,3,1,0,9,0,29,2,30,3,0,0,10,102,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\model\infinispan\src\main\java\org\keycloak\models\sessions\infinispan\changes\JpaChangesPerformer.java,org.keycloak.models.sessions.infinispan.changes.JpaChangesPerformer,class,24,27,3,24,24,1,0,47,12,0.75,0.0,0.0,8,0,4,4,0,0,4,0,0,0,6,1,0,6,0,0,5,0,2,452,2,0,10,1,0,2,0,27,0,32,4,6,0,6,67,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\server-spi-private\src\main\java\org\keycloak\models\utils\FormMessage.java,org.keycloak.models.utils.FormMessage,class,0,1,1,0,9,1,0,1,0,0.53125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,1,0,1,33,4,0,1,0,0,5,0,5,1,4,1,0,0,0,42,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\model\jpa\src\main\java\org\keycloak\models\jpa\JpaUserCredentialStore.java,org.keycloak.models.jpa.JpaUserCredentialStore,class,11,14,3,11,36,1,0,69,71,0.8166667,0.0,0.0,15,0,10,2,0,3,13,0,0,0,4,2,1,1,2,0,4,0,2,136,17,2,11,0,0,6,11,32,5,31,2,0,0,3,81,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\utils\src\main\java\org\keycloak\testsuite\util\cli\BatchTaskRunner.java,org.keycloak.testsuite.util.cli.BatchTaskRunner$BatchTask,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\test-framework\core\src\main\java\org\keycloak\testframework\realm\ClientConfigBuilder.java,org.keycloak.testframework.realm.ClientConfigBuilder,class,3,19,16,3,21,1,0,22,0,0.0,0.0,0.0,19,2,18,1,0,0,18,0,0,0,1,0,0,1,0,0,1,0,2,83,18,0,2,0,0,0,0,2,0,2,1,0,0,0,37,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\server-spi\src\main\java\org\keycloak\sessions\AuthenticationSessionProvider.java,org.keycloak.sessions.AuthenticationSessionProvider,interface,5,6,1,5,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\authz\AttributeTest.java,org.keycloak.testsuite.authz.AttributeTest$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\protocol\oid4vc\model\OID4VCClient.java,org.keycloak.protocol.oid4vc.model.OID4VCClient,class,2,5,3,2,26,1,0,10,61,0.78571427,0.0,0.0,14,0,14,0,0,0,14,0,0,0,5,0,0,5,0,0,0,0,1,68,18,0,16,0,5,0,9,15,8,6,1,0,0,0,55,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\broker\OidcHardcodedGroupMapperTest.java,org.keycloak.testsuite.broker.OidcHardcodedGroupMapperTest,class,8,8,0,8,3,7,0,14,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,1,0,3,0,3,0,0,0,0,57,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\x509\X509BrowserCRLTest.java,org.keycloak.testsuite.x509.X509BrowserCRLTest,class,12,13,1,12,15,3,0,40,105,0.93333334,0.0,0.0,15,0,13,2,0,0,13,0,0,0,2,1,1,1,0,0,0,0,15,126,0,0,0,1,0,49,7,33,8,34,1,0,0,0,96,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\main\java\org\keycloak\testsuite\pages\LoginPasswordResetPage.java,org.keycloak.testsuite.pages.LoginPasswordResetPage,class,5,5,0,5,13,3,0,8,32,0.85714287,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,0,0,7,53,9,0,1,3,0,9,0,0,0,7,1,0,0,0,46,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\common\src\main\java\org\keycloak\common\util\SecretGenerator.java,org.keycloak.common.util.SecretGenerator,class,3,4,1,3,12,1,0,6,15,0.875,0.0,0.0,7,1,6,1,0,0,6,0,0,0,8,7,6,2,0,0,7,0,0,51,6,1,1,0,0,3,7,13,0,12,1,1,0,0,38,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\crypto\default\src\main\java\org\keycloak\crypto\def\BCPemUtilsProvider.java,org.keycloak.crypto.def.BCPemUtilsProvider,class,7,9,2,7,10,2,0,11,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,4,3,0,1,0,5,0,5,2,0,0,0,51,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\federation\sssd\src\main\java\org\freedesktop\dbus\interfaces\Error.java,org.freedesktop.dbus.interfaces.Error,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\protocol\oidc\grants\ciba\resolvers\DefaultCIBALoginUserResolverFactory.java,org.keycloak.protocol.oidc.grants.ciba.resolvers.DefaultCIBALoginUserResolverFactory,class,6,6,0,6,5,1,0,0,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,0,15,2,0,0,0,0,1,0,1,0,1,0,0,0,0,35,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\authentication\ExplainedVerificationException.java,org.keycloak.authentication.ExplainedVerificationException,class,1,1,0,1,5,2,0,0,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,22,1,0,0,0,0,0,0,4,0,1,0,0,0,0,11,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\services\resources\account\AccountCredentialResource.java,org.keycloak.services.resources.account.AccountCredentialResource$CredentialContainer,innerclass,3,3,0,3,12,1,0,9,46,0.8333334,0.0,0.0,12,0,12,0,0,0,12,0,0,0,10,0,0,10,0,0,0,0,0,56,10,0,0,0,0,0,0,10,0,10,0,0,0,0,29,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\federation\ldap\LDAPGroupMapper2WaySyncTest.java,org.keycloak.testsuite.federation.ldap.LDAPGroupMapper2WaySyncTest,class,16,16,0,16,7,3,0,37,21,0.85714287,0.0,0.0,7,2,3,2,2,0,5,0,0,0,1,1,1,0,0,0,0,0,2,137,1,0,0,0,0,38,26,49,0,57,1,0,0,9,63,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\main\java\org\keycloak\testsuite\webauthn\pages\fragments\LoggedInPageHeader.java,org.keycloak.testsuite.webauthn.pages.fragments.LoggedInPageHeader,class,4,5,1,4,3,3,0,2,1,0.5,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,0,0,2,13,2,0,0,0,0,2,0,0,0,2,0,0,0,0,23,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\social\paypal\PayPalUserAttributeMapper.java,org.keycloak.social.paypal.PayPalUserAttributeMapper,class,1,1,0,1,2,2,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,2,0,0,0,0,1,0,1,0,1,0,0,0,0,21,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\tests\base\src\test\java\org\keycloak\tests\admin\userprofile\UserProfileAdminTest.java,org.keycloak.tests.admin.userprofile.UserProfileAdminTest,class,11,11,0,11,11,1,0,40,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,3,79,0,2,1,0,0,10,4,20,3,26,2,0,0,5,44,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\testsuite\integration-arquillian\tests\base\src\main\java\org\keycloak\testsuite\util\DroneUtils.java,org.keycloak.testsuite.util.DroneUtils,class,5,21,16,5,20,1,0,29,0,0.2,0.0,0.0,5,5,5,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,5,62,2,2,2,3,1,7,0,8,3,6,4,0,0,0,63,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\quarkus\runtime\src\main\java\org\keycloak\quarkus\runtime\storage\infinispan\QuarkusInfinispanConnectionFactory.java,org.keycloak.quarkus.runtime.storage.infinispan.QuarkusInfinispanConnectionFactory,class,3,3,0,3,4,2,0,8,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,4,1,2,0,1,0,0,0,0,27,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\model\infinispan\src\main\java\org\keycloak\keys\infinispan\InfinispanPublicKeyStorageProvider.java,org.keycloak.keys.infinispan.InfinispanPublicKeyStorageProvider$Anonymous1,anonymous,1,1,0,1,6,1,0,1,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\core\src\main\java\org\keycloak\protocol\oidc\client\authentication\ClientCredentialsProvider.java,org.keycloak.protocol.oidc.client.authentication.ClientCredentialsProvider,interface,1,5,4,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\model\infinispan\src\main\java\org\keycloak\models\cache\infinispan\GroupAdapter.java,org.keycloak.models.cache.infinispan.GroupAdapter,class,11,13,2,11,70,1,0,57,0,0.6734694,0.0,0.0,35,0,32,1,2,0,34,0,0,0,7,0,0,1,6,0,5,0,1,181,52,2,10,0,1,2,0,15,0,17,2,0,0,3,85,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\tests\base\src\test\java\org\keycloak\tests\admin\authentication\RequiredActionsTest.java,org.keycloak.tests.admin.authentication.RequiredActionsTest,class,18,19,1,18,21,2,0,59,39,0.85,0.0,0.0,10,0,4,6,0,0,4,0,0,0,2,0,0,0,0,2,0,0,17,174,4,2,2,6,0,52,6,26,10,27,2,0,2,2,86,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\saml-core-api\src\main\java\org\keycloak\dom\saml\v2\metadata\IndexedEndpointType.java,org.keycloak.dom.saml.v2.metadata.IndexedEndpointType,class,1,5,4,1,5,3,0,0,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,19,2,0,0,0,0,0,0,2,0,2,0,0,0,0,47,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\test-framework\core\src\main\java\org\keycloak\testframework\realm\Collections.java,org.keycloak.testframework.realm.Collections,class,2,6,4,2,5,1,0,4,6,0.0,0.0,0.0,4,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,19,4,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\server-spi-private\src\main\java\org\keycloak\protocol\oidc\TokenExchangeProvider.java,org.keycloak.protocol.oidc.TokenExchangeProvider,interface,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\authz\policy\common\src\main\java\org\keycloak\authorization\policy\provider\permission\ScopePolicyProviderFactory.java,org.keycloak.authorization.policy.provider.permission.ScopePolicyProviderFactory,class,10,11,1,10,16,1,0,8,89,0.89285713,0.0,0.0,14,0,13,1,0,0,13,0,0,0,2,1,1,1,0,0,2,0,0,53,8,0,2,0,0,5,0,5,0,7,2,0,0,1,39,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\model\storage-private\src\main\java\org\keycloak\storage\group\GroupStorageProviderFactory.java,org.keycloak.storage.group.GroupStorageProviderFactory,interface,9,11,2,9,11,1,0,1,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,1,26,4,0,0,0,0,1,0,0,0,0,0,0,0,0,59,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\wellknown\WellKnownSpi.java,org.keycloak.wellknown.WellKnownSpi,class,3,3,0,3,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\crypto\fips1402\src\test\java\org\keycloak\crypto\fips\test\FIPS1402UnitTest.java,org.keycloak.crypto.fips.test.FIPS1402UnitTest,class,5,5,0,5,1,1,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,23,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\services\resources\IdentityBrokerService.java,org.keycloak.services.resources.IdentityBrokerService,class,68,72,4,68,207,1,0,277,212,0.7587719,0.0,0.0,57,2,18,38,1,0,19,0,0,0,8,2,0,8,0,0,7,0,27,895,87,2,70,11,4,92,8,165,16,151,4,0,0,5,322,1,17
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\integration\client-cli\admin-cli\src\main\java\org\keycloak\client\admin\cli\CmdStdinContext.java,org.keycloak.client.admin.cli.CmdStdinContext,class,8,12,4,8,17,1,0,15,3,0.5,0.0,0.0,7,2,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,2,68,4,0,4,3,0,10,1,9,4,7,2,0,0,0,58,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\services\resources\admin\permissions\RolePermissionManagement.java,org.keycloak.services.resources.admin.permissions.RolePermissionManagement,interface,4,8,4,4,11,1,0,0,55,1.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,3,3,3,0,0,0,3,0,0,16,0,0,0,0,0,3,0,3,0,3,0,0,0,0,40,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\services\src\main\java\org\keycloak\protocol\saml\profile\ecp\SamlEcpProfileService.java,org.keycloak.protocol.saml.profile.ecp.SamlEcpProfileService,class,17,19,2,17,8,3,0,26,15,1.0,0.0,0.0,6,0,3,1,2,0,5,0,0,0,3,3,0,3,0,0,3,0,3,92,6,0,1,1,0,5,0,6,0,6,2,2,0,2,67,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\keycloak\federation\sssd\src\main\java\org\jvnet\libpam\impl\PAMLibrary.java,org.jvnet.libpam.impl.PAMLibrary$pam_handle_t,innerclass,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
