file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-http-client\src\main\java\dev\langchain4j\http\client\log\HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,class,4,7,3,4,9,1,0,30,6,0.75,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,7,36,6,0,1,1,0,9,6,2,2,2,1,0,0,1,40,0,2
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\web\search\WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,class,3,3,0,3,6,1,0,26,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,17,12,7,0,7,0,0,0,1,46,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-mariadb\src\main\java\dev\langchain4j\store\embedding\mariadb\MetadataHandlerFactory.java,dev.langchain4j.store.embedding.mariadb.MetadataHandlerFactory,class,4,5,1,4,5,1,0,11,1,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,20,2,0,0,1,0,2,0,3,0,3,1,0,0,1,38,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-mistral-ai\src\main\java\dev\langchain4j\model\mistralai\internal\client\MistralAiClientBuilderFactory.java,dev.langchain4j.model.mistralai.internal.client.MistralAiClientBuilderFactory,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-open-ai-official\src\test\java\dev\langchain4j\model\openaiofficial\openai\OpenAiOfficialChatModelListenerIT.java,dev.langchain4j.model.openaiofficial.openai.OpenAiOfficialChatModelListenerIT,class,8,9,1,8,4,2,0,15,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-voyage-ai\src\main\java\dev\langchain4j\model\voyageai\RerankRequest.java,dev.langchain4j.model.voyageai.RerankRequest,class,1,5,4,1,9,1,0,0,24,0.77777773,0.0,0.0,9,1,6,0,0,3,9,0,0,0,6,0,0,6,0,0,0,0,0,74,7,0,0,0,0,0,0,6,0,6,0,0,1,0,20,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\AiServicesWithJsonSchemaIT.java,dev.langchain4j.service.AiServicesWithJsonSchemaIT$PersonExtractor8$Pet,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\tool\ToolExecutionRequestUtilTest.java,dev.langchain4j.service.tool.ToolExecutionRequestUtilTest,class,7,7,0,7,5,1,0,19,10,0.0,0.0,0.0,5,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,31,1,0,0,0,4,55,4,6,0,7,1,0,0,1,27,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-onnx-scoring\src\main\java\dev\langchain4j\model\scoring\onnx\AbstractInProcessScoringModel.java,dev.langchain4j.model.scoring.onnx.AbstractInProcessScoringModel,class,8,10,2,8,5,1,1,7,6,0.0,0.0,0.0,4,1,2,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,1,0,0,0,1,0,1,1,0,0,0,26,1024,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-ollama\src\main\java\dev\langchain4j\model\ollama\OllamaStreamingChatModel.java,dev.langchain4j.model.ollama.OllamaStreamingChatModel$OllamaStreamingChatModelBuilder,innerclass,6,6,0,6,22,1,0,2,185,0.9019138,0.0,0.0,22,0,22,0,0,0,22,0,0,0,19,0,0,19,0,0,0,0,1,105,21,0,0,0,0,0,0,19,0,19,0,0,0,0,70,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\rag\query\MetadataTest.java,dev.langchain4j.rag.query.MetadataTest,class,4,4,0,4,3,1,0,13,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,20,5,9,1,9,0,0,0,0,36,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\StreamingAiServicesWithToolsWithoutMemoryIT.java,dev.langchain4j.service.StreamingAiServicesWithToolsWithoutMemoryIT$Assistant,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-open-ai\src\main\java\dev\langchain4j\model\openai\OpenAiChatModel.java,dev.langchain4j.model.openai.OpenAiChatModel$OpenAiChatModelBuilder,innerclass,8,8,0,8,36,1,0,3,622,0.9696177,0.0,0.0,36,0,36,0,0,0,36,0,0,0,32,0,0,32,0,0,0,0,1,174,35,0,0,0,0,0,0,33,0,32,0,0,0,0,90,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-anthropic\src\main\java\dev\langchain4j\model\anthropic\internal\api\AnthropicDelta.java,dev.langchain4j.model.anthropic.internal.api.AnthropicDelta,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-oracle\src\main\java\dev\langchain4j\store\embedding\oracle\SQLFilter.java,dev.langchain4j.store.embedding.oracle.SQLFilter,interface,1,10,9,1,3,1,0,1,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,168,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-weaviate\src\test\java\dev\langchain4j\store\embedding\weaviate\CloudWeaviateEmbeddingStoreIT.java,dev.langchain4j.store.embedding.weaviate.CloudWeaviateEmbeddingStoreIT,class,10,10,0,10,5,2,0,14,6,0.75,0.0,0.0,4,0,0,0,4,0,4,0,0,0,5,2,0,2,0,3,2,0,1,24,2,0,0,1,0,8,0,6,1,6,1,0,0,0,47,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\main\java\dev\langchain4j\service\Result.java,dev.langchain4j.service.Result$ResultBuilder,innerclass,7,7,0,7,8,1,0,0,6,0.625,0.0,0.0,8,0,7,0,0,1,8,0,0,0,5,0,0,5,0,0,0,0,0,35,7,0,0,0,0,6,0,5,1,5,0,0,0,0,16,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\agent\tool\ToolSpecificationsTest.java,dev.langchain4j.agent.tool.ToolSpecificationsTest,class,23,24,1,23,13,1,0,30,78,0.0,0.0,0.0,13,5,5,1,0,7,12,0,0,0,0,0,0,0,0,0,0,0,1,112,5,0,0,0,0,93,4,12,0,12,0,0,6,2,70,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\output\EnumSetOutputParserTest.java,dev.langchain4j.service.output.EnumSetOutputParserTest,class,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,4,0,4,0,0,1,0,23,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\data\message\AiMessageTest.java,dev.langchain4j.data.message.AiMessageTest,class,5,5,0,5,5,1,0,24,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,70,0,0,0,0,0,24,1,14,0,14,1,0,0,1,42,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j\src\main\java\dev\langchain4j\data\document\loader\DocumentParserLoader.java,dev.langchain4j.data.document.loader.DocumentParserLoader,class,2,4,2,2,3,1,0,3,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,2,1,1,1,1,1,0,0,0,26,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-google-ai-gemini\src\main\java\dev\langchain4j\model\googleai\GeminiTool.java,dev.langchain4j.model.googleai.GeminiTool,class,4,12,8,4,17,1,0,5,33,0.7,0.0,0.0,10,1,8,0,1,1,10,0,0,0,2,0,0,2,0,0,0,0,0,71,12,0,7,0,3,3,4,15,5,11,1,0,1,0,30,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-mistral-ai\src\main\java\dev\langchain4j\model\mistralai\internal\api\MistralAiApi.java,dev.langchain4j.model.mistralai.internal.api.MistralAiApi,interface,14,15,1,14,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\langchain4j\langchain4j-mistral-ai\src\main\java\dev\langchain4j\model\mistralai\internal\api\MistralAiTool.java,dev.langchain4j.model.mistralai.internal.api.MistralAiTool$MistralAiToolBuilder,innerclass,8,8,0,8,4,1,0,0,6,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,1,0,2,0,2,0,0,0,0,14,9,0
