file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-public-enhancements\linkis-pes-publicservice\src\main\java\org\apache\linkis\basedatamanager\server\dao\UdfBaseInfoMapper.java,org.apache.linkis.basedatamanager.server.dao.UdfBaseInfoMapper,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-computation-governance\linkis-manager\linkis-application-manager\src\main\java\org\apache\linkis\manager\am\pointer\DefaultNodePointerBuilder.java,org.apache.linkis.manager.am.pointer.DefaultNodePointerBuilder,class,8,8,0,8,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-public-enhancements\linkis-instance-label-server\src\main\java\org\apache\linkis\instance\label\entity\InsPersistenceLabelValue.java,org.apache.linkis.instance.label.entity.InsPersistenceLabelValue,class,0,2,2,0,8,1,0,0,10,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,30,3,0,0,0,0,0,0,6,0,3,0,0,0,0,14,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-commons\linkis-module\src\main\java\org\apache\linkis\restful\CommonRestfulApi.java,org.apache.linkis.restful.CommonRestfulApi,class,10,10,0,10,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,9,1,0,0,0,0,8,0,0,0,2,0,0,0,0,19,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-public-enhancements\linkis-cs-server\src\main\java\org\apache\linkis\cs\execution\ruler\CommonListContextSearchRuler.java,org.apache.linkis.cs.execution.ruler.CommonListContextSearchRuler,class,5,15,10,5,5,2,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,21,2,1,0,0,0,1,1,5,0,5,2,0,0,0,21,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-computation-governance\linkis-manager\linkis-manager-persistence\src\main\java\org\apache\linkis\manager\exception\PersistenceErrorException.java,org.apache.linkis.manager.exception.PersistenceErrorException,class,2,6,4,2,3,2,2,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-public-enhancements\linkis-pes-common\src\main\java\org\apache\linkis\cs\listener\event\ContextIDEvent.java,org.apache.linkis.cs.listener.event.ContextIDEvent,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-public-enhancements\linkis-pes-client\src\main\java\org\apache\linkis\cs\client\service\CSNodeService.java,org.apache.linkis.cs.client.service.CSNodeService,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\src\main\java\org\apache\linkis\cli\application\interactor\command\parser\transformer\ParamKeyMapper.java,org.apache.linkis.cli.application.interactor.command.parser.transformer.ParamKeyMapper,class,4,6,2,4,13,1,0,14,0,0.25,0.0,0.0,8,0,7,1,0,0,7,1,0,0,1,0,0,0,1,0,0,0,1,50,3,1,0,0,0,5,0,5,2,4,2,0,0,0,62,1025,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\linkis\linkis-commons\linkis-rpc\src\main\java\org\apache\linkis\rpc\message\method\ReceiverMethodSearcher.java,org.apache.linkis.rpc.message.method.ReceiverMethodSearcher,class,8,9,1,8,9,1,0,28,1,0.5,NaN,NaN,3,0,1,2,0,0,1,0,0,0,2,0,0,2,0,0,1,0,7,36,2,1,4,0,0,1,1,9,0,11,3,0,0,2,33,1,0
