file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\core\lombok\core\CleanupRegistry.java,lombok.core.CleanupRegistry$CleanupKey,innerclass,1,1,0,1,8,1,0,3,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,1,19,6,0,3,0,1,0,1,3,2,3,1,0,0,0,13,26,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,innerclass,4,4,0,4,13,1,0,4,20,0.7037037,0.0,0.0,9,0,8,0,1,0,9,2,0,0,3,0,0,3,0,0,0,0,0,38,6,0,4,0,10,17,0,4,6,3,1,0,0,0,20,1033,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\knownBroken\before\I1302BuilderInInstanceInnerClass.java,I1302BuilderInInstanceInnerClass$NonStaticInner,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,innerclass,5,5,0,5,15,1,0,9,0,0.42857146,0.0,0.0,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,0,0,3,46,6,0,5,0,1,14,8,7,4,3,1,0,0,0,13,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\SuperBuilderWithAnnotatedTypeParam.java,SuperBuilderWithAnnotatedTypeParam,class,2,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,1,0,1,0,0,2,0,11,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,innerclass,7,8,0,8,5,1,0,0,0,0.4,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,0,0,0,21,4,0,0,0,4,11,0,2,4,2,0,0,0,0,9,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\DelegateOnGetter.java,DelegateOnGetter$Bar,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\installer\lombok\installer\InstallerGUI.java,lombok.installer.InstallerGUI$Anonymous10,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,0,1,0,1,1,0,0,0,15,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\UtilityClass.java,UtilityInner$UtilityInsideEnum$InsideEnum,innerclass,1,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\core\lombok\eclipse\handlers\singulars\EclipseJavaUtilListSetSingularizer.java,lombok.eclipse.handlers.singulars.EclipseJavaUtilListSetSingularizer,class,30,33,3,30,22,3,2,42,28,0.0,0.0,0.0,8,0,4,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,27,124,8,0,8,0,3,6,31,65,0,26,1,0,0,0,115,1024,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\installer\lombok\installer\InstallerGUI.java,lombok.installer.InstallerGUI$Anonymous13,anonymous,2,2,0,2,8,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,71,0,1,0,4,0,0,1,0,0,0,4,4,0,0,12,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\installer\lombok\installer\InstallerGUI.java,lombok.installer.InstallerGUI$Anonymous11,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\ValWithSelfRefGenerics.java,Thing,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\installer\lombok\installer\InstallerGUI.java,lombok.installer.InstallerGUI$Anonymous12,anonymous,3,3,0,3,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,0,2,0,1,0,1,2,0,0,0,22,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\utils\lombok\core\SpiLoadUtil.java,lombok.core.SpiLoadUtil,class,5,7,2,5,30,1,0,30,21,0.0,0.0,0.0,7,6,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,105,13,5,13,2,0,4,4,21,2,14,3,1,0,0,149,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\installer\lombok\installer\InstallerGUI.java,lombok.installer.InstallerGUI$Anonymous18,anonymous,2,2,0,2,6,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,52,0,1,0,3,0,0,0,0,0,0,4,3,0,0,11,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\InnerClass.java,C$D,innerclass,3,7,0,7,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0
