file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\core\lombok\core\CleanupRegistry.java,lombok.core.CleanupRegistry$CleanupKey,"CleanupKey/2[java.lang.String,java.lang.Object]",true,32,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\core\lombok\core\CleanupRegistry.java,lombok.core.CleanupRegistry$CleanupKey,equals/1[java.lang.Object],false,37,1,0,0,0,6,1,8,5,1,1,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\src\core\lombok\core\CleanupRegistry.java,lombok.core.CleanupRegistry$CleanupKey,hashCode/0,false,46,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,field/1[int],false,12,3,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,toString/0,false,46,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,6,5,0,0,6,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,items/1[java.util.Collection<? extends java.lang.String>],false,29,3,1,0,1,3,2,8,1,0,1,2,0,0,0,2,0,2,2,0,1,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,item/1[java.lang.String],false,23,3,1,0,1,2,2,5,1,0,1,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,build/0,false,45,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1025,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,self/0,false,44,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1028,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,otherField/1[int],false,19,3,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,clearItems/0,false,39,3,1,0,1,2,2,4,1,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\SuperBuilderWithPrefixes.java,SuperBuilderWithPrefixes$SuperBuilderWithPrefixesBuilder,SuperBuilderWithPrefixesBuilder/0,true,6,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,toString/0,false,79,2,42,0,42,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,BookBuilder/0,true,24,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,name/1[java.lang.String],false,31,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,build/0,false,60,2,1,0,1,5,6,16,1,1,0,6,0,0,0,1,0,1,1,8,4,3,1,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,author/1[java.lang.String],false,37,2,0,0,0,2,1,5,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,clearAuthors/0,false,54,2,0,0,0,2,1,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-delombok\SingularCleanupForDelombok.java,Book$BookBuilder,authors/1[java.util.Collection<? extends java.lang.String>],false,44,3,0,0,0,3,1,8,1,0,1,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\SuperBuilderWithAnnotatedTypeParam.java,SuperBuilderWithAnnotatedTypeParam,test/0,false,26,1,4,0,4,1,4,3,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,toString/0,false,31,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,TestBuilder/0,true,11,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,bar/1[Bar],false,24,5,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,build/0,false,28,5,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\after-ecj\BuilderWithRecursiveGenerics.java,BuilderWithRecursiveGenerics$Test$TestBuilder,foo/1[Foo],false,17,5,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\lombok\test\transform\resource\before\DelegateOnGetter.java,DelegateOnGetter$Bar,setList/1[java.util.ArrayList<java.lang.String>],false,16,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
