file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\cli\Translations.java,net.querz.mcaselector.cli.Translations,"printTranslation/2[net.querz.mcaselector.cli.CommandLine,java.util.concurrent.FutureTask<java.lang.Boolean>]",false,36,3,6,0,6,12,16,45,0,10,2,16,0,0,3,1,2,3,20,0,11,4,4,0,0,0,33,8,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\cli\Translations.java,net.querz.mcaselector.cli.Translations,printMissingTranslations/1[java.util.concurrent.FutureTask<java.lang.Boolean>],false,18,1,5,0,5,5,7,17,0,2,1,7,0,0,2,0,0,0,2,0,3,2,4,0,0,0,13,8,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\cli\Translations.java,net.querz.mcaselector.cli.Translations,printTranslationKeys/1[java.util.concurrent.FutureTask<java.lang.Boolean>],false,80,1,2,0,2,2,4,6,0,0,1,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,5,8,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionProcessJob,"MCADeleteSelectionProcessJob/4[net.querz.mcaselector.io.RegionDirectories,net.querz.mcaselector.selection.ChunkSet,net.querz.mcaselector.io.WorldDirectories,net.querz.mcaselector.progress.Progress]",true,58,4,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionProcessJob,execute/0,false,66,10,19,0,19,12,22,57,5,9,0,22,0,0,0,4,4,0,9,0,10,0,2,0,0,0,43,1,9,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,getZPos/1[net.querz.mcaselector.version.anvil112.CompoundTag],false,580,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,"filterSections/2[net.querz.mcaselector.version.anvil112.Tag,net.querz.mcaselector.version.anvil112.Tag]",false,435,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,5,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,"matchBlockNames/2[net.querz.mcaselector.version.anvil112.CompoundTag,java.util.Collection<java.lang.String>]",false,81,5,2,0,2,13,6,37,2,8,2,6,0,0,4,7,0,3,4,10,8,4,6,0,0,0,28,1,1,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,getStructureStarts/1[net.querz.mcaselector.version.anvil112.CompoundTag],false,494,2,2,0,2,1,2,4,1,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,"matchAnyBiome/2[net.querz.mcaselector.version.anvil112.CompoundTag,java.util.Collection<net.querz.mcaselector.io.registry.BiomeRegistry.BiomeIdentifier>]",false,273,4,2,0,2,5,3,14,3,1,2,3,0,0,2,1,0,0,1,0,1,0,3,0,0,0,15,1,0,false
