file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-scripting-bundle\nifi-scripting-processors\src\test\java\org\apache\nifi\processors\script\BaseScriptTest.java,org.apache.nifi.processors.script.BaseScriptTest$AccessibleExecuteScript,innerclass,3,3,0,3,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-azure-bundle\nifi-azure-reporting-task\src\main\java\org\apache\nifi\reporting\azure\loganalytics\AzureLogAnalyticsReportingTask.java,org.apache.nifi.reporting.azure.loganalytics.AzureLogAnalyticsReportingTask,class,16,19,3,16,16,3,2,43,15,0.8333333,0.0,0.0,6,0,1,2,3,0,4,0,0,0,5,4,0,3,0,2,5,0,5,82,2,6,1,1,0,18,0,25,1,23,3,0,0,0,149,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-slack-bundle\nifi-slack-processors\src\main\java\org\apache\nifi\services\slack\SlackRecordSink.java,org.apache.nifi.services.slack.SlackRecordSink,class,13,14,1,13,8,2,0,27,1,0.6296296,0.0,0.0,3,0,3,0,0,0,3,0,0,0,9,7,5,4,0,0,7,0,2,55,2,1,1,3,0,25,2,22,2,21,3,0,0,0,134,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\c2\c2-client-bundle\c2-client-http\src\test\java\org\apache\nifi\c2\client\http\url\C2UrlProviderFactoryTest.java,org.apache.nifi.c2.client.http.url.C2UrlProviderFactoryTest,class,10,10,0,10,4,1,0,11,0,0.05,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,3,0,5,0,0,3,0,0,34,0,0,0,0,0,3,0,6,5,8,0,0,0,0,47,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-standard-bundle\nifi-standard-processors\src\main\java\org\apache\nifi\processors\standard\db\impl\RemoveUnderscoreAndSpaceNormalizer.java,org.apache.nifi.processors.standard.db.impl.RemoveUnderscoreAndSpaceNormalizer,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-gcp-bundle\nifi-gcp-processors\src\main\java\org\apache\nifi\processors\gcp\pubsub\PubSubAttributes.java,org.apache.nifi.processors.gcp.pubsub.PubSubAttributes,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,20,0,0,22,0,0,0,0,0,26,0,20,2,20,0,0,0,0,81,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-commons\nifi-utils\src\main\java\org\apache\nifi\util\concurrency\DebuggableTimedLock.java,org.apache.nifi.util.concurrency.DebuggableTimedLock,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-aws-bundle\nifi-aws-processors\src\main\java\org\apache\nifi\processors\aws\kinesis\stream\record\converter\RecordConverterIdentity.java,org.apache.nifi.processors.aws.kinesis.stream.record.converter.RecordConverterIdentity,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-snmp-bundle\nifi-snmp-processors\src\main\java\org\apache\nifi\snmp\operations\SNMPTrapReceiverHandler.java,org.apache.nifi.snmp.operations.SNMPTrapReceiverHandler,class,17,20,3,17,13,1,0,23,0,0.57142854,0.0,0.0,7,0,5,1,0,1,6,0,0,0,5,1,0,5,0,0,3,0,0,57,4,0,3,1,1,1,3,12,0,11,2,0,0,1,53,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\nifi\nifi-extension-bundles\nifi-standard-bundle\nifi-standard-processors\src\main\java\org\apache\nifi\processors\standard\LookupRecord.java,org.apache.nifi.processors.standard.LookupRecord$LookupContext,innerclass,9,9,0,9,11,1,0,13,6,0.6964286,0.0,0.0,8,0,7,1,0,0,7,0,0,0,7,0,0,7,0,0,7,0,0,61,8,0,1,2,0,0,0,14,0,14,2,0,0,0,46,12,0
