file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,class,6,12,6,6,31,1,5,7,376,0.9285714,0.0,0.0,28,0,27,0,1,0,28,0,1,0,1,0,0,1,0,0,1,0,1,93,10,0,3,0,1,3,0,1,3,1,1,0,0,0,45,1025,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\test\java\com\facebook\presto\common\TestUtils.java,com.facebook.presto.common.TestUtils,class,3,4,1,3,10,1,0,12,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,83,0,3,1,2,0,5,5,10,0,10,1,2,0,1,52,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,innerclass,2,2,0,2,5,1,0,5,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,19,1,2,0,0,0,2,0,1,0,1,1,0,0,0,15,10,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,class,4,14,10,4,9,1,0,3,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,3,30,7,0,3,0,0,5,0,3,1,3,1,0,0,0,20,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cli\src\test\java\com\facebook\presto\cli\TestTsvPrinter.java,com.facebook.presto.cli.TestTsvPrinter,class,4,4,0,4,4,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,36,0,0,0,0,0,36,8,15,2,15,0,0,0,0,25,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\SpnegoHandler.java,com.facebook.presto.client.SpnegoHandler$Anonymous1,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,16,0,1,0,4,1,0,0,3,9,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,class,7,8,1,7,10,2,1,18,4,0.625,0.0,0.0,4,2,2,0,2,0,4,0,0,0,2,1,0,1,1,0,1,0,0,49,1,0,6,0,0,1,0,2,0,2,0,0,1,0,23,1025,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-blackhole\src\main\java\com\facebook\presto\plugin\blackhole\BlackHolePartitioningHandle.java,com.facebook.presto.plugin.blackhole.BlackHolePartitioningHandle,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,class,7,7,0,7,6,1,0,12,0,0.33333337,0.0,0.0,5,0,5,0,0,0,5,0,0,0,6,3,0,6,0,0,3,0,17,49,0,1,0,0,0,11,12,16,2,16,1,0,0,0,65,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,innerclass,4,4,0,4,24,1,0,1,232,0.9166666,0.0,0.0,24,0,23,1,0,0,23,0,0,0,22,0,0,22,0,0,0,0,1,117,23,0,0,0,0,1,0,22,0,22,0,0,0,0,51,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\main\java\com\facebook\presto\cassandra\CassandraConnectorFactory.java,com.facebook.presto.cassandra.CassandraConnectorFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowModule.java,com.facebook.plugin.arrow.ArrowModule,class,16,17,1,16,2,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,19,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryPageSourceProvider.java,com.facebook.presto.plugin.bigquery.BigQueryPageSourceProvider,class,21,24,3,21,3,1,0,9,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,7,0,7,1,0,0,0,38,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\block\IntArrayBlock.java,com.facebook.presto.common.block.IntArrayBlock,class,9,13,4,9,54,1,0,32,72,0.72413796,0.0,0.0,29,0,27,1,0,1,28,0,0,0,7,2,1,6,0,0,7,0,16,167,26,1,15,0,0,7,16,23,23,17,2,0,0,0,100,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-driver\src\main\java\com\facebook\presto\benchmark\driver\BenchmarkQueryRunner.java,com.facebook.presto.benchmark.driver.BenchmarkQueryRunner,class,22,24,2,22,37,1,0,67,21,0.76250005,0.0,0.0,10,1,5,5,0,0,5,0,0,0,8,0,0,8,0,0,7,0,10,172,10,7,5,4,0,16,13,40,2,36,4,0,0,4,130,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\block\MapBlock.java,com.facebook.presto.common.block.MapBlock,class,7,11,4,7,46,2,0,35,0,0.6545454,0.0,0.0,22,3,12,4,6,0,18,0,0,0,10,1,0,10,0,0,9,0,20,148,22,0,15,0,1,11,11,18,13,16,2,0,0,0,128,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\main\java\com\facebook\presto\benchmark\source\PhaseSpecificationsColumnMapper.java,com.facebook.presto.benchmark.source.PhaseSpecificationsColumnMapper,class,4,5,1,4,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,7,1,0,1,0,0,0,0,2,0,2,0,0,0,0,33,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-bytecode\src\main\java\com\facebook\presto\bytecode\control\ForLoop.java,com.facebook.presto.bytecode.control.ForLoop,class,9,12,3,9,16,1,0,11,68,0.8125,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,8,0,1,72,13,0,0,0,0,12,0,10,0,9,0,0,0,0,41,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\QualifiedObjectName.java,com.facebook.presto.common.QualifiedObjectName,class,8,10,2,8,17,1,0,11,0,0.41666666,0.0,0.0,12,4,11,1,0,0,11,0,0,0,3,0,0,3,0,0,3,0,11,61,12,0,4,0,2,8,7,5,1,5,1,0,0,0,46,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryEmptySplitPageSource.java,com.facebook.presto.plugin.bigquery.BigQueryEmptySplitPageSource,class,5,7,2,5,10,1,0,6,16,0.6666667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,2,0,1,35,6,1,0,0,0,1,5,6,0,5,1,0,0,0,37,1,1
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\JsonAvgBenchmarkResultWriter.java,com.facebook.presto.benchmark.JsonAvgBenchmarkResultWriter$BuildResult,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,9,0
