file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getLongUnchecked/2[com.facebook.presto.common.type.UncheckedBlock,int]",false,103,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,equals/1[java.lang.Object],false,181,2,2,0,2,4,3,9,3,0,1,3,0,0,0,3,0,1,0,0,0,0,1,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getSlice/2[com.facebook.presto.common.type.Block,int]",false,133,2,1,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,hashCode/0,false,194,2,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getDoubleUnchecked/2[com.facebook.presto.common.type.UncheckedBlock,int]",false,121,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getObject/2[com.facebook.presto.common.type.Block,int]",false,157,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getBooleanUnchecked/2[com.facebook.presto.common.type.UncheckedBlock,int]",false,85,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,isOrderable/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"hash/2[com.facebook.presto.common.type.Block,int]",false,61,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getSliceUnchecked/2[com.facebook.presto.common.type.Block,int]",false,139,2,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getBlockUnchecked/2[com.facebook.presto.common.type.Block,int]",false,163,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeLong/2[com.facebook.presto.common.type.BlockBuilder,long]",false,109,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeSlice/2[com.facebook.presto.common.type.BlockBuilder,com.facebook.presto.common.type.Slice]",false,145,2,1,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,getTypeParameters/0,false,43,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,AbstractType/1[java.lang.Class<?>],true,31,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeDouble/2[com.facebook.presto.common.type.BlockBuilder,double]",false,127,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,toString/0,false,175,2,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"compareTo/4[com.facebook.presto.common.type.Block,int,com.facebook.presto.common.type.Block,int]",false,73,2,1,0,1,1,1,3,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,getJavaType/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getLong/2[com.facebook.presto.common.type.Block,int]",false,97,1,1,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,isComparable/0,false,49,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,getDisplayName/0,false,200,2,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeBoolean/2[com.facebook.presto.common.type.BlockBuilder,boolean]",false,91,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeSlice/4[com.facebook.presto.common.type.BlockBuilder,com.facebook.presto.common.type.Slice,int,int]",false,151,2,0,0,0,1,2,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"equalTo/4[com.facebook.presto.common.type.Block,int,com.facebook.presto.common.type.Block,int]",false,67,2,1,0,1,1,1,3,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getBoolean/2[com.facebook.presto.common.type.Block,int]",false,79,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"getDouble/2[com.facebook.presto.common.type.Block,int]",false,115,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,"writeObject/2[com.facebook.presto.common.type.BlockBuilder,java.lang.Object]",false,169,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\test\java\com\facebook\presto\common\TestUtils.java,com.facebook.presto.common.TestUtils,testCheckArgumentPassWithMessage/0,false,45,2,1,0,1,2,2,8,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,10,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\test\java\com\facebook\presto\common\TestUtils.java,com.facebook.presto.common.TestUtils,testMemoizedSupplierThreadSafe/0,false,57,3,2,0,2,1,2,4,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,8,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\test\java\com\facebook\presto\common\TestUtils.java,com.facebook.presto.common.TestUtils,testCheckArgumentFailWithMessage/0,false,33,2,1,0,1,2,4,9,0,0,0,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,12,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-common\src\test\java\com\facebook\presto\common\TestUtils.java,com.facebook.presto.common.TestUtils,"testSupplierThreadSafe/1[java.util.function.Function<java.util.function.Supplier<java.lang.Boolean>,java.util.function.Supplier<java.lang.Boolean>>]",false,68,0,2,1,1,5,7,60,0,8,1,7,0,0,3,1,0,0,0,5,9,0,1,2,0,0,42,2,0,true
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,ForwardingBenchmarkResultWriter/1[java.util.List<com.facebook.presto.benchmark.BenchmarkResultHook>],true,154,1,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,"addResults/1[java.util.Map<java.lang.String,java.lang.Long>]",false,161,2,1,0,1,2,2,7,1,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,12,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,finished/0,false,171,1,1,0,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,hashCode/0,false,70,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,toString/0,false,51,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,"ArrowTableHandle/2[java.lang.String,java.lang.String]",true,32,2,8,8,0,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,getSchema/0,false,39,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,equals/1[java.lang.Object],false,57,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,12,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,getTable/0,false,45,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cli\src\test\java\com\facebook\presto\cli\TestTsvPrinter.java,com.facebook.presto.cli.TestTsvPrinter,testTsvVarbinaryPrinting/0,false,94,4,5,0,5,1,9,9,0,4,0,9,0,0,0,0,0,0,5,1,4,0,0,0,0,0,21,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cli\src\test\java\com\facebook\presto\cli\TestTsvPrinter.java,com.facebook.presto.cli.TestTsvPrinter,testTsvPrinting/0,false,32,4,5,0,5,1,8,9,0,4,0,8,0,0,0,0,0,0,19,5,4,1,0,0,0,0,17,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cli\src\test\java\com\facebook\presto\cli\TestTsvPrinter.java,com.facebook.presto.cli.TestTsvPrinter,testTsvPrintingNoRows/0,false,60,3,2,0,2,1,5,7,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cli\src\test\java\com\facebook\presto\cli\TestTsvPrinter.java,com.facebook.presto.cli.TestTsvPrinter,testTsvPrintingNoHeader/0,false,73,4,5,0,5,1,8,9,0,4,0,8,0,0,0,0,0,0,9,2,4,1,0,0,0,0,19,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\SpnegoHandler.java,com.facebook.presto.client.SpnegoHandler$Anonymous1,getAppConfigurationEntry/1[java.lang.String],false,202,2,0,0,0,2,8,18,1,4,1,8,0,0,0,0,0,0,16,0,1,0,1,0,0,3,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,"assertEvent/3[com.facebook.presto.benchmark.event.BenchmarkQueryEvent,java.lang.String,com.facebook.presto.benchmark.event.BenchmarkQueryEvent.Status]",false,51,2,15,3,12,7,15,14,0,0,3,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,12,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,"assertEvent/3[com.facebook.presto.benchmark.event.BenchmarkPhaseEvent,java.lang.String,com.facebook.presto.benchmark.event.BenchmarkPhaseEvent.Status]",false,68,2,5,3,2,1,4,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,getEventClient/0,false,46,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,setup/0,false,41,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,tearDown/0,false,50,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,testNonEmptyTable/0,false,90,2,0,0,0,2,7,11,0,3,0,7,0,0,1,0,0,0,5,1,3,2,1,0,0,0,33,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,testPartitionCountOverride/0,false,56,2,0,0,0,1,7,13,0,5,0,7,0,0,0,0,0,0,2,8,5,0,0,0,0,0,39,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,testEmptyTable/0,false,77,2,0,0,0,1,7,8,0,2,0,7,0,0,0,0,0,0,3,1,2,0,0,0,0,0,23,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,setUp/0,false,41,3,0,0,0,1,3,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setNodes/1[int],false,314,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setTotalSplits/1[int],false,338,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setQueuedTimeMillis/1[long],false,380,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setElapsedTimeMillis/1[long],false,386,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setProcessedRows/1[long],false,392,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setWallTimeMillis/1[long],false,368,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\presto\presto-client\src\main\java\com\facebook\presto\client\StatementStats.java,com.facebook.presto.client.StatementStats$Builder,setPeakTaskTotalMemoryBytes/1[long],false,416,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
