file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\ddl\CreateConversionStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.ddl.CreateConversionStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\rql\rule\mask\CountMaskRuleStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.rql.rule.mask.CountMaskRuleStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\checker\DialectPipelineDatabaseVariableChecker.java,org.apache.shardingsphere.data.pipeline.core.checker.DialectPipelineDatabaseVariableChecker,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\parser\sql\statement\type\oracle\src\main\java\org\apache\shardingsphere\sql\parser\statement\oracle\ddl\OracleAlterRollbackSegmentStatement.java,org.apache.shardingsphere.sql.parser.statement.oracle.ddl.OracleAlterRollbackSegmentStatement,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\asserts\statement\dal\impl\ExplainStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.dal.impl.ExplainStatementAssert,class,9,11,2,9,11,1,0,19,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,44,0,0,6,0,0,8,0,0,0,0,2,0,0,0,32,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\kernel\data-pipeline\dialect\opengauss\src\test\java\org\apache\shardingsphere\data\pipeline\opengauss\ingest\incremental\wal\decode\OpenGaussTimestampUtilsTest.java,org.apache.shardingsphere.data.pipeline.opengauss.ingest.incremental.wal.decode.OpenGaussTimestampUtilsTest,class,8,8,0,8,3,1,0,10,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,0,0,2,19,0,0,0,0,0,4,0,5,0,6,0,0,0,0,23,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\mode\core\src\main\java\org\apache\shardingsphere\mode\metadata\refresher\pushdown\type\table\DropTablePushDownMetaDataRefresher.java,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DropTablePushDownMetaDataRefresher,class,6,6,0,6,2,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,1,0,2,0,0,0,1,27,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\infra\database\core\src\main\java\org\apache\shardingsphere\infra\database\core\metadata\data\model\SchemaMetaData.java,org.apache.shardingsphere.infra.database.core.metadata.data.model.SchemaMetaData,class,4,21,17,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\kernel\data-pipeline\scenario\consistency-check\src\main\java\org\apache\shardingsphere\data\pipeline\scenario\consistencycheck\ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,class,7,9,2,7,6,1,0,5,0,0.55,0.0,0.0,5,1,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,3,23,2,0,0,0,0,0,1,4,2,4,0,0,0,0,21,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\shardingsphere\parser\sql\statement\type\postgresql\src\main\java\org\apache\shardingsphere\sql\parser\statement\postgresql\ddl\PostgreSQLCommentStatement.java,org.apache.shardingsphere.sql.parser.statement.postgresql.ddl.PostgreSQLCommentStatement,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0
