file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,emitDirectly/0,false,73,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,hasTransforms/0,false,77,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,bufferDefaultModel/1[net.caffeinemc.mods.sodium.client.render.frapi.render.BakedModel],false,67,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,(initializer 1),false,62,2,15,0,15,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,isEmpty/0,false,81,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,"ChunkMeshBufferBuilder/2[net.caffeinemc.mods.sodium.client.render.chunk.vertex.format.ChunkVertexType,int]",true,22,2,4,1,3,1,3,7,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,"push/2[net.caffeinemc.mods.sodium.client.render.chunk.vertex.format.ChunkVertexEncoder.Vertex[],int]",false,36,3,4,2,2,2,3,8,0,0,2,3,1,3,0,1,0,0,1,3,1,1,1,0,0,0,12,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,slice/0,false,85,1,1,0,1,2,2,6,1,0,0,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,9,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,ensureCapacity/1[int],false,48,1,2,1,1,2,1,5,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,grow/1[int],false,54,1,2,1,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,false
