file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\models\spring-ai-azure-openai\src\test\java\org\springframework\ai\azure\openai\MockAzureOpenAiTestConfiguration.java,org.springframework.ai.azure.openai.MockAzureOpenAiTestConfiguration,class,10,11,1,10,2,1,0,6,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,2,0,1,0,1,0,0,0,0,53,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-spring-boot-autoconfigure\src\test\java\org\springframework\ai\autoconfigure\chat\model\ToolCallingAutoConfigurationTests.java,org.springframework.ai.autoconfigure.chat.model.ToolCallingAutoConfigurationTests$WeatherService,innerclass,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,5,0,0,0,0,0,0,0,0,16,8,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\models\spring-ai-openai\src\test\java\org\springframework\ai\openai\chat\OpenAiChatModelFunctionCallingIT.java,org.springframework.ai.openai.chat.OpenAiChatModelFunctionCallingIT$Anonymous1,anonymous,2,2,0,2,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,9,4,0,1,1,0,0,0,9,-1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\vectorstore\filter\FilterExpressionTextParser.java,org.springframework.ai.vectorstore.filter.FilterExpressionTextParser,class,12,15,3,12,9,7,0,18,2,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,4,1,0,4,0,0,4,0,2,129,3,0,1,1,0,4,0,13,0,12,1,0,3,0,105,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-core\src\test\java\org\springframework\ai\transformer\splitter\TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,class,4,4,0,4,4,1,0,27,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,14,75,0,0,0,0,0,114,52,21,8,20,0,1,0,14,236,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\tool\metadata\ToolMetadata.java,org.springframework.ai.tool.metadata.ToolMetadata,interface,3,15,12,3,3,1,0,5,3,0.0,0.0,0.0,3,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,30,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-spring-boot-autoconfigure\src\main\java\org\springframework\ai\autoconfigure\watsonxai\WatsonxAiAutoConfiguration.java,org.springframework.ai.autoconfigure.watsonxai.WatsonxAiAutoConfiguration,class,14,14,0,14,3,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,6,0,0,0,0,0,0,0,0,30,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\model\EmbeddingUtils.java,org.springframework.ai.model.EmbeddingUtils,class,2,3,1,2,13,1,0,9,15,0.8333333,0.0,0.0,6,5,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,1,44,9,3,4,0,0,0,6,8,0,7,1,0,0,1,35,17,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\spring-ai-spring-boot-autoconfigure\src\test\java\org\springframework\ai\autoconfigure\vectorstore\qdrant\QdrantVectorStoreAutoConfigurationIT.java,org.springframework.ai.autoconfigure.vectorstore.qdrant.QdrantVectorStoreAutoConfigurationIT,class,13,14,1,13,3,1,0,32,1,0.6666667,0.0,0.0,2,1,2,0,0,0,2,0,0,0,3,1,0,1,0,2,1,0,6,44,1,0,0,1,0,15,6,9,2,10,1,0,1,2,52,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\spring-ai\models\spring-ai-openai\src\test\java\org\springframework\ai\openai\chat\OpenAiChatModelFunctionCallingIT.java,org.springframework.ai.openai.chat.OpenAiChatModelFunctionCallingIT$Anonymous2,anonymous,2,2,0,2,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,9,4,0,1,1,0,0,0,9,-1,0
