file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\lib\trino-orc\src\test\java\io\trino\orc\BenchmarkColumnReaders.java,io.trino.orc.BenchmarkColumnReaders$ShortDecimalNoNullBenchmarkData,innerclass,5,5,0,5,3,2,0,6,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,4,2,1,2,1,0,0,0,21,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\main\java\io\trino\sql\planner\iterative\rule\PruneSortColumns.java,io.trino.sql.planner.iterative.rule.PruneSortColumns,class,5,5,0,5,2,2,0,9,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\test\java\io\trino\server\TestNodeResource.java,io.trino.server.TestNodeResource,class,9,9,0,9,4,1,0,13,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,21,0,0,0,0,0,4,0,6,0,4,0,0,0,0,43,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\lib\trino-filesystem\src\main\java\io\trino\filesystem\local\LocalOutputStream.java,io.trino.filesystem.local.LocalOutputStream,class,4,6,2,4,12,2,0,9,0,0.2777778,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,2,0,7,53,0,0,0,4,0,3,2,3,2,3,2,0,0,0,29,0,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\main\java\io\trino\sql\gen\AndCodeGenerator.java,io.trino.sql.gen.AndCodeGenerator,class,9,9,0,9,4,1,0,23,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,27,1,1,0,0,0,9,2,8,1,8,1,0,0,0,49,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\plugin\trino-delta-lake\src\test\java\io\trino\plugin\deltalake\TestPredicatePushdown.java,io.trino.plugin.deltalake.TestPredicatePushdown$TableResource,innerclass,0,0,0,0,2,1,0,7,0,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,2,12,1,0,0,0,0,2,0,2,0,2,0,0,0,0,29,2,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\main\java\io\trino\server\security\AuthenticationFilter.java,io.trino.server.security.AuthenticationFilter,class,12,15,3,12,9,1,0,29,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,4,0,8,54,2,1,1,1,0,7,0,10,0,11,4,0,0,2,54,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-spi\src\main\java\io\trino\spi\connector\SaveMode.java,io.trino.spi.connector.SaveMode,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\main\java\io\trino\metadata\PolymorphicScalarFunctionBuilder.java,io.trino.metadata.PolymorphicScalarFunctionBuilder$ChoiceBuilder,innerclass,7,7,0,7,7,1,0,12,0,0.56000006,0.0,0.0,5,0,4,1,0,0,4,0,0,0,5,0,0,5,0,0,3,0,5,33,4,0,2,0,0,5,0,9,0,6,1,0,0,0,47,9,0
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\trino\core\trino-main\src\main\java\io\trino\operator\aggregation\CountAggregation.java,io.trino.operator.aggregation.CountAggregation,class,9,9,0,9,4,1,0,3,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,1,0,2,0,0,0,1,0,13,17,0
