file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\core\window\NativeMacOsWindowControl.java,io.xpipe.app.core.window.NativeMacOsWindowControl,NativeMacOsWindowControl/1[io.xpipe.app.core.window.Window],true,22,2,0,0,0,1,6,12,0,6,1,6,0,0,0,0,0,0,3,0,7,0,0,0,0,0,17,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\core\window\NativeMacOsWindowControl.java,io.xpipe.app.core.window.NativeMacOsWindowControl,"setAppearance/2[boolean,boolean]",false,35,4,3,0,3,5,9,16,3,1,2,9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,14,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,"updateItem/2[java.lang.String,boolean]",false,613,0,0,0,0,4,4,9,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,FileOwnerCell/0,true,608,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\util\LocalExec.java,io.xpipe.app.util.LocalExec,readStdoutIfPossible/1[java.lang.String[]],false,10,1,3,3,0,3,14,20,3,3,1,14,0,0,0,1,1,0,11,1,3,0,2,0,0,0,14,9,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\core\src\main\java\io\xpipe\core\dialog\Dialog.java,io.xpipe.core.dialog.Dialog$Query,start/0,false,507,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\core\src\main\java\io\xpipe\core\dialog\Dialog.java,io.xpipe.core.dialog.Dialog$Query,"Query/7[java.lang.String,boolean,boolean,boolean,T,io.xpipe.core.dialog.QueryConverter<T>,boolean]",true,502,3,2,1,1,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\core\src\main\java\io\xpipe\core\dialog\Dialog.java,io.xpipe.core.dialog.Dialog$Query,getConvertedValue/0,false,525,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\core\src\main\java\io\xpipe\core\dialog\Dialog.java,io.xpipe.core.dialog.Dialog$Query,next/1[java.lang.String],false,512,3,2,0,2,5,4,9,3,0,1,4,0,0,0,2,0,1,0,1,0,0,1,0,0,0,6,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,"setupShortcuts/2[io.xpipe.app.browser.file.TableView<io.xpipe.app.browser.file.BrowserEntry>,io.xpipe.app.browser.file.ButtonBase]",false,96,4,1,1,0,6,21,24,1,8,2,21,0,0,0,3,0,0,1,2,5,1,2,0,0,3,17,2,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,"updateItem/2[java.lang.String,boolean]",false,163,1,0,0,0,6,18,23,1,5,2,18,0,0,0,4,1,0,4,2,5,1,2,0,0,0,25,4,0,false
C:\faculdade\6 periodo\laboratorio de exp\LAB2\repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,createQuickAccessButton/0,false,76,4,3,1,2,3,13,13,3,4,0,13,0,0,0,2,0,0,0,0,4,0,2,0,0,2,21,2,0,false
